"lineage","tips","distance","country","year_first","year_last"
"Asian SEA4_A1.1.2_E1",9,0.0230758442,"philippines",2021,2022
"Asian SEA4_A1.1.2_E2",6,0.0227781887999999,"philippines",2022,2024
"Asian SEA4_A1.1.2_E3",5,0.0216160034999999,"c(""philippines"", ""Philippines"")",2015,2017
"Asian SEA4_A1.1.2_E4",5,0.0224730146999998,"c(""philippines"", ""Philippines"")",2015,2016
"Asian SEA4_A1.1.2_E5",5,0.0236947851999998,"philippines",2024,2025
"Asian SEA4_A1.1.2_E6",5,0.0243749030999999,"philippines",2021,2024
"Asian SEA4_A1.1.2_E7",5,0.0237340538999999,"philippines",2022,2024
"Asian SEA4_A1.1.2_E8",5,0.0241094932999999,"philippines",2022,2024
"Asian SEA4_A1.1.2_E9",5,0.0255918428999999,"philippines",2023,2025
"Asian SEA4_A1.1.2_E10",5,0.0214702714999999,"philippines",2019,2022
"Asian SEA4_A1.2_E1",5,0.0213700577,"philippines",2018,2022
"Asian SEA4_A1.2_E2",5,0.0239603289,"philippines",2022,2023
"Asian SEA4_A1.2_E3",5,0.0222950688000001,"philippines",2021,2022
"Asian SEA4_A1.2_E4",5,0.0222163280000001,"philippines",2020,2021
"Asian SEA4_A1.2_E5",5,0.0218037689,"philippines",2019,2023
"Asian SEA4_A1.2_E6",5,0.0217048415000001,"philippines",2021,2022
"Asian SEA4_A1.2_E7",7,0.0223027338999999,"philippines",2021,2022
"Asian SEA4_A1.2_E8",6,0.0209710483,"c(""philippines"", ""Philippines"")",2018,2021
"Asian SEA4_A1.2_E9",6,0.0214998100999999,"c(""philippines"", ""Philippines"")",2018,2019
"Asian SEA4_A1.2_E10",5,0.0207946823999999,"philippines",2021,2021
"Asian SEA4_A1.2_E11",5,0.0208481824,"philippines",2021,2021
"Asian SEA4_B1.1.1_E1",5,0.0206478946999999,"c(""Philippines"", ""philippines"")",2019,2021
"Asian SEA4_C1.1.1_E1",7,0.0211909199,"c(""Japan"", ""philippines"")",2020,2022
