ID,year,country,assignment
Z-24-141,2024,philippines,
Z-24-142,2024,philippines,
RADDL4B-23-060,2023,philippines,
RADDL4B-23-061,2023,philippines,
RADDL4B-23-070,2023,philippines,
RADDL4B-23-072,2023,philippines,
RADDL4B-23-057,2023,philippines,
RADDL4B-24-019,2024,philippines,
RADDL4B-24-021,2024,philippines,
RADDL4B-24-026,2024,philippines,
RADDL4B-24-027,2024,philippines,
RADDL4B-24-029,2024,philippines,
RADDL4B-24-034,2024,philippines,
RADDL4B-24-035,2024,philippines,
RADDL4B-24-037,2024,philippines,
RADDL4B-24-053,2024,philippines,
RADDL4B-24-055,2024,philippines,
RADDL4B-24-056,2024,philippines,
RADDL4B-24-057,2024,philippines,
RADDL4B-24-058,2024,philippines,
RADDL4B-24-059,2024,philippines,
RADDL4B-24-067,2024,philippines,
RADDL4B-24-070,2024,philippines,
RADDL4B-24-071,2024,philippines,
RADDL4B-24-077,2024,philippines,
RADDL4B-24-082,2024,philippines,
RADDL4B-24-102,2024,philippines,
RADDL4B-23-085,2023,philippines,
RADDL4B-23-093,2023,philippines,
RADDL4B-23-095,2023,philippines,
RADDL4B-23-097,2023,philippines,
RADDL4B-23-098,2023,philippines,
RADDL4B-23-099,2023,philippines,
RADDL4B-23-100,2023,philippines,
RADDL4B-24-001,2024,philippines,
RADDL4B-24-011,2024,philippines,
RADDL4B-24-012,2024,philippines,
RADDL4B-24-015,2024,philippines,
RADDL4B-24-016,2024,philippines,
RADDL4B-24-049,2024,philippines,
RADDL4B-24-084,2024,philippines,
RADDL4B-24-085,2024,philippines,
RADDL4B-24-086,2024,philippines,
RADDL4B-24-087,2024,philippines,
RADDL4B-24-088,2024,philippines,
RADDL4B-24-101,2024,philippines,
RADDL4B-24-106,2024,philippines,
RADDL4B-24-120,2024,philippines,
RADDL4B-24-124,2024,philippines,
RADDL4B-23-042,2023,philippines,
RADDL4B-23-044,2023,philippines,
RADDL4B-23-045,2023,philippines,
RADDL4B-23-046,2023,philippines,
RADDL4B-23-047,2023,philippines,
RADDL4B-23-049,2023,philippines,
RADDL4B-23-052,2023,philippines,
RADDL4B-23-056,2023,philippines,
RADDL4B-23-058,2023,philippines,
RADDL4B-23-076,2023,philippines,
RADDL4B-23-080,2023,philippines,
RADDL4B-23-081,2023,philippines,
RADDL4B-23-090,2023,philippines,
RADDL4B-23-101,2023,philippines,
RADDL4B-23-104,2023,philippines,
RADDL4B-23-105,2023,philippines,
RADDL4B-24-002,2024,philippines,
RADDL4B-24-003,2024,philippines,
RADDL4B-24-017,2024,philippines,
RADDL4B-24-023,2024,philippines,
RADDL4B-24-028,2024,philippines,
RADDL4B-24-038,2024,philippines,
RADDL4B-24-042,2024,philippines,
RADDL4B-24-043,2024,philippines,
RADDL4B-24-046,2024,philippines,
RADDL4B-24-051,2024,philippines,
RADDL4B-24-054,2024,philippines,
RADDL4B-24-063,2024,philippines,
RADDL4B-24-066,2024,philippines,
RADDL4B-24-069,2024,philippines,
RADDL4B-24-073,2024,philippines,
RADDL4B-24-074,2024,philippines,
RADDL4B-24-076,2024,philippines,
RADDL4B-24-078,2024,philippines,
RADDL4B-24-081,2024,philippines,
RADDL4B-24-099,2024,philippines,
RADDL4B-24-098,2024,philippines,
RADDL4B-24-097,2024,philippines,
RADDL4B-24-096,2024,philippines,
RADDL4B-24-095,2024,philippines,
RADDL4B-24-018,2024,philippines,
RADDL4B-24-014,2024,philippines,
RADDL4B-24-009,2024,philippines,
RADDL4B-24-138,2024,philippines,
RADDL4B-24-154,2024,philippines,
RADDL4B-24-155,2024,philippines,
RADDL4B-24-100,2024,philippines,
RADDL4B-24-112,2024,philippines,
RADDL4B-24-113,2024,philippines,
RADDL4B-24-114,2024,philippines,
RADDL4B-24-116,2024,philippines,
RADDL4B-24-117,2024,philippines,
RADDL4B-24-121,2024,philippines,
RADDL4B-24-122,2024,philippines,
RADDL4B-24-153,2024,philippines,
