#node	date	numeric date
NODE_0000003	1945-11-05	1945.845558
NODE_0000315	1966-03-12	1966.194015
NODE_0000316	1984-08-20	1984.635274
NODE_0000317	2017-08-01	2017.583215
Z-24-141	2024-09-24	2024.729510
Z-24-142	2024-09-24	2024.729510
NODE_0000318	2007-01-22	2007.058161
OR971591	2021-04-26	2021.315070
NODE_0000319	2015-03-13	2015.196884
NODE_0000320	2019-10-20	2019.802590
OR971542	2021-10-05	2021.761640
OR971557	2021-09-11	2021.695890
NODE_0000321	2015-07-20	2015.550286
OR971537	2019-08-28	2019.657530
NODE_0000323	2020-03-20	2020.215893
OR971540	2021-10-04	2021.758900
NODE_0000324	2021-07-12	2021.526429
R6-21-4600	2021-10-13	2021.783560
OR971546	2021-10-12	2021.780820
NODE_0000325	2015-12-12	2015.946209
NODE_0000327	2020-11-20	2020.886449
OR971553	2021-10-27	2021.819180
OR971549	2021-10-22	2021.805480
NODE_0000328	2017-09-20	2017.718172
R6-21-4375	2021-10-01	2021.747950
R6-4342	2021-09-30	2021.745210
NODE_0000329	2016-08-22	2016.639469
OR971535	2019-06-11	2019.441100
OR971551	2021-10-25	2021.813700
NODE_0000330	2020-07-22	2020.555360
OR971552	2021-10-26	2021.816440
NODE_0000331	2020-10-19	2020.800538
OR971541	2021-10-05	2021.761640
OR971548	2021-10-18	2021.797260
NODE_0000334	2016-10-05	2016.760855
OR971538	2019-09-17	2019.709590
NODE_0000335	2017-04-03	2017.253381
NODE_0000336	2018-04-23	2018.307696
OR971539	2019-10-09	2019.772600
NODE_0000337	2019-12-07	2019.934006
OR971558	2021-09-11	2021.695890
OR971555	2021-10-27	2021.819180
NODE_0000338	2018-07-03	2018.501423
OR971554	2021-10-29	2021.824660
NODE_0000339	2020-09-14	2020.702823
OR971550	2021-10-25	2021.813700
OR971545	2021-10-11	2021.778080
NODE_0000340	1968-04-05	1968.261439
NODE_0000341	2002-05-15	2002.368501
OR971589	2021-04-14	2021.284930
NODE_0000342	2019-12-18	2019.964233
OR971590	2021-04-22	2021.304110
NODE_0000343	2020-12-27	2020.988646
OR971585	2021-02-25	2021.153420
NODE_0000344	2021-02-19	2021.134427
OR971584	2021-02-25	2021.153420
OR971586	2021-03-23	2021.221920
NODE_0000345	1972-07-27	1972.570252
NODE_0000346	2014-08-01	2014.580843
OR971547	2021-10-18	2021.797260
NODE_0000347	2016-08-16	2016.624571
R6-21-4343	2021-01-01	2021.000000
OR971536	2019-06-16	2019.457530
NODE_0000349	2017-05-20	2017.381063
OR971556	2021-07-12	2021.526030
NODE_0000350	2018-10-02	2018.750794
OR971544	2021-10-11	2021.778080
R6-4568	2021-10-12	2021.780820
NODE_0000351	1995-12-21	1995.971677
NODE_0000352	2016-01-17	2016.045107
NODE_0000353	2020-08-12	2020.612509
OR971565	2021-09-10	2021.693150
OR971564	2021-09-10	2021.693150
NODE_0000354	2018-09-14	2018.702487
OR971563	2021-10-26	2021.816440
OR971561	2021-10-17	2021.794520
NODE_0000355	2008-04-02	2008.252146
NODE_0000356	2021-08-19	2021.632766
OR971574	2022-02-14	2022.120550
OR971577	2022-02-27	2022.158900
NODE_0000357	2011-12-02	2011.918247
NODE_0000358	2016-08-13	2016.615464
NODE_0000359	2019-09-11	2019.693430
OR971566	2021-09-10	2021.693150
OR971559	2021-10-12	2021.780820
NODE_0000360	2019-08-31	2019.664732
R7-21-161	2021-10-17	2021.794520
R7-21-149	2021-01-01	2021.000000
NODE_0000361	2014-05-07	2014.345477
NODE_0000362	2017-07-26	2017.566027
OR971562	2021-10-21	2021.802740
NODE_0000363	2021-12-04	2021.924520
OR971573	2022-08-01	2022.583560
OR971572	2022-01-25	2022.068490
NODE_0000364	2015-06-13	2015.448938
OR971576	2022-02-21	2022.139730
NODE_0000365	2016-07-06	2016.513457
OR971575	2022-02-15	2022.123290
NODE_0000366	2019-11-27	2019.906417
OR971568	2021-12-11	2021.942470
NODE_0000367	2020-06-06	2020.430578
OR971571	2022-06-30	2022.495890
OR971560	2021-10-12	2021.780820
NODE_0000369	2021-04-07	2021.263169
OR971569	2021-11-21	2021.890410
OR971570	2021-11-21	2021.890410
OR971567	2021-10-10	2021.775340
NODE_0000287	1946-02-08	1946.105951
NODE_0000288	1977-12-16	1977.957511
NODE_0000289	1987-09-23	1987.727317
NODE_0000290	1989-09-01	1989.666968
Z-98-454	1998-05-04	1998.336990
Z-98-1061	1998-08-04	1998.591780
NODE_0000291	1989-04-06	1989.261759
KX148263	1994-01-01	1994.000000
NODE_0000292	1989-11-09	1989.855037
NODE_0000293	1997-04-28	1997.322997
Z-98-286	1998-03-19	1998.210960
Z-98-860	1998-08-14	1998.616440
NODE_0000294	1990-07-30	1990.575591
Z-98-285	1998-03-18	1998.208220
NODE_0000295	1993-02-17	1993.129074
Z-98-780	1998-07-24	1998.561640
NODE_0000296	1997-03-28	1997.237669
Z-06-150	2006-04-24	2006.309590
Z-98-718	1998-07-13	1998.528770
NODE_0000297	1993-03-10	1993.188419
NODE_0000298	2001-08-07	2001.598126
Z-13-216	2013-10-25	2013.813700
NODE_0000299	2013-05-27	2013.400901
Z-17-57	2017-03-29	2017.238360
NODE_0000300	2020-12-08	2020.934450
H24-028	2024-03-26	2024.234970
RADDL4B-25-017	2025-03-06	2025.178080
NODE_0000301	2004-07-10	2004.524389
Z-13-098	2013-05-12	2013.361640
NODE_0000302	2004-09-10	2004.691379
NODE_0000303	2005-01-14	2005.036694
Z-08-359	2008-12-24	2008.980870
NODE_0000304	2007-04-27	2007.320165
Z-14-149	2014-06-27	2014.487670
NODE_0000305	2008-02-21	2008.140991
Z-14-243	2014-11-12	2014.865750
NODE_0000306	2011-11-27	2011.906399
Z-13-204	2013-09-26	2013.734250
NODE_0000307	2012-03-28	2012.239525
Z-13-234	2013-11-14	2013.871230
Z-13-081	2013-04-25	2013.312330
NODE_0000308	2007-05-13	2007.363605
NODE_0000309	2008-02-09	2008.107171
NODE_0000310	2010-08-29	2010.660075
Z-12-212	2012-04-20	2012.300550
Z-14-146	2014-06-25	2014.482190
NODE_0000311	2012-05-12	2012.362684
OR971448	2019-07-31	2019.580820
Z-19-029	2019-02-25	2019.153420
NODE_0000312	2009-08-02	2009.586019
Z-13-065	2013-04-03	2013.254790
NODE_0000313	2010-11-11	2010.860960
Z-16-209	2016-12-14	2016.950820
NODE_0000314	2011-06-01	2011.413849
Z-13-184	2013-08-28	2013.657530
Z-13-171	2013-08-04	2013.591780
NODE_0000286	1954-07-09	1954.519841
NODE_0000371	1961-04-19	1961.296007
OR971592	2019-10-08	2019.769860
NODE_0000372	1982-04-03	1982.252864
NODE_0000373	1988-03-19	1988.215751
NODE_0000374	2008-12-24	2008.980705
NODE_0000375	2015-09-29	2015.744111
OQ326778	2018-01-01	2018.000000
OQ326774	2018-01-01	2018.000000
NODE_0000376	2015-12-26	2015.983716
OR971632	2022-02-15	2022.123290
OR971675	2021-10-20	2021.800000
NODE_0000379	2016-06-16	2016.458840
OQ326748	2018-01-01	2018.000000
NODE_0000380	2017-06-24	2017.476929
OQ326770	2019-01-01	2019.000000
R11-22-001	2022-01-01	2022.000000
NODE_0000087	2018-01-01	2018.000000
OQ326764	2018-01-01	2018.000000
NODE_0000381	2020-11-24	2020.898049
OR971638	2022-04-25	2022.312330
OR971637	2022-04-01	2022.246580
NODE_0000384	2014-11-06	2014.849127
NODE_0000385	2015-03-17	2015.208081
NODE_0000386	2016-12-26	2016.984228
OQ326754	2018-01-01	2018.000000
NODE_0000387	2017-03-02	2017.166519
OQ326771	2018-01-01	2018.000000
OQ326767	2018-01-01	2018.000000
NODE_0000388	2016-12-15	2016.955359
OQ326780	2018-01-01	2018.000000
NODE_0000389	2017-03-23	2017.222872
OQ326753	2018-01-01	2018.000000
NODE_0000390	2018-07-01	2018.496922
OQ326740	2019-01-01	2019.000000
OQ326763	2019-01-01	2019.000000
NODE_0000391	2015-09-28	2015.740626
NODE_0000392	2016-08-06	2016.597522
OQ326757	2018-01-01	2018.000000
OR971629	2021-12-07	2021.931510
NODE_0000393	2016-06-28	2016.489215
NODE_0000394	2017-04-30	2017.327389
OQ326752	2018-01-01	2018.000000
NODE_0000395	2017-06-30	2017.495567
OQ326736	2018-01-01	2018.000000
OQ326766	2018-01-01	2018.000000
NODE_0000396	2017-03-02	2017.166706
OQ326769	2018-01-01	2018.000000
NODE_0000397	2017-04-29	2017.323868
OQ326776	2018-01-01	2018.000000
NODE_0000399	2017-07-18	2017.545047
OQ326742	2018-01-01	2018.000000
OQ326759	2018-01-01	2018.000000
NODE_0000400	2017-08-15	2017.621797
OQ326772	2018-01-01	2018.000000
NODE_0000401	2018-02-07	2018.101374
OR971633	2022-02-15	2022.123290
OR971626	2021-01-06	2021.013700
NODE_0000402	2008-05-09	2008.355119
NODE_0000403	2014-06-14	2014.450472
NODE_0000407	2021-05-21	2021.384782
OR971628	2021-10-13	2021.783560
R11-21-61	2021-08-11	2021.608220
NODE_0000404	2015-07-23	2015.558831
OQ326784	2018-01-01	2018.000000
NODE_0000405	2017-05-01	2017.329016
OQ326749	2018-01-01	2018.000000
OR971639	2022-05-02	2022.331510
NODE_0000408	2016-04-28	2016.322967
OQ326768	2018-01-01	2018.000000
NODE_0000409	2016-07-13	2016.530138
NODE_0000410	2016-10-27	2016.819950
OQ326762	2018-01-01	2018.000000
OQ326756	2018-01-01	2018.000000
NODE_0000411	2017-01-09	2017.023896
OQ326773	2018-01-01	2018.000000
NODE_0000115	2017-04-05	2017.259720
OQ326779	2018-01-01	2018.000000
OQ326746	2018-01-01	2018.000000
NODE_0000413	2010-06-10	2010.441067
NODE_0000414	2011-12-23	2011.975364
OQ326765	2019-01-01	2019.000000
NODE_0000415	2013-11-03	2013.839001
OQ326745	2018-01-01	2018.000000
NODE_0000416	2015-12-06	2015.930986
NODE_0000120	2017-01-09	2017.024498
