#node	date	numeric date
NODE_0000001	1944-08-31	1944.664655
NODE_0000315	1964-10-05	1964.760202
NODE_0000316	1983-11-29	1983.911952
NODE_0000317	2017-07-06	2017.510639
Z-24-142	2024-09-24	2024.730874
Z-24-141	2024-09-24	2024.730874
NODE_0000318	2006-11-13	2006.867367
OR971591	2021-04-26	2021.316438
NODE_0000319	2015-02-05	2015.098331
NODE_0000320	2019-10-14	2019.783763
OR971542	2021-10-06	2021.763014
OR971557	2021-09-12	2021.697260
NODE_0000321	2015-06-16	2015.455741
OR971537	2019-08-29	2019.658904
NODE_0000323	2020-03-13	2020.198330
OR971540	2021-10-05	2021.760274
NODE_0000324	2021-07-11	2021.525141
R6-21-4600	2021-10-14	2021.784932
OR971546	2021-10-13	2021.782192
NODE_0000325	2015-11-13	2015.867802
NODE_0000327	2020-11-16	2020.876693
OR971549	2021-10-22	2021.806849
OR971553	2021-10-27	2021.820548
NODE_0000328	2017-08-30	2017.660680
R6-21-4375	2021-10-01	2021.749315
R6-4342	2021-09-30	2021.746575
NODE_0000329	2016-07-27	2016.570285
OR971535	2019-06-11	2019.442466
OR971551	2021-10-25	2021.815068
NODE_0000330	2020-07-18	2020.544305
OR971552	2021-10-26	2021.817808
NODE_0000331	2020-10-16	2020.791968
OR971541	2021-10-06	2021.763014
OR971548	2021-10-19	2021.798630
NODE_0000334	2016-09-11	2016.694517
OR971538	2019-09-17	2019.710959
NODE_0000335	2017-03-12	2017.192855
NODE_0000336	2018-04-12	2018.278550
OR971539	2019-10-10	2019.773973
NODE_0000337	2019-12-01	2019.917171
OR971558	2021-09-12	2021.697260
OR971555	2021-10-27	2021.820548
NODE_0000338	2018-06-17	2018.459794
OR971554	2021-10-29	2021.826027
NODE_0000339	2020-09-09	2020.690544
OR971550	2021-10-25	2021.815068
OR971545	2021-10-12	2021.779452
NODE_0000340	1966-09-28	1966.740892
NODE_0000341	2002-03-03	2002.168063
OR971589	2021-04-15	2021.286301
NODE_0000342	2019-12-08	2019.935302
OR971590	2021-04-16	2021.289041
NODE_0000343	2020-12-26	2020.986037
OR971585	2021-02-26	2021.154795
NODE_0000344	2021-02-18	2021.133891
OR971584	2021-02-22	2021.143836
OR971586	2021-03-23	2021.223288
NODE_0000345	1971-04-06	1971.261866
NODE_0000346	2014-07-08	2014.515792
OR971547	2021-10-19	2021.798630
NODE_0000347	2016-07-31	2016.580691
R6-21-4343	2021-01-01	2021.001370
OR971536	2019-06-17	2019.458904
NODE_0000349	2017-05-06	2017.344416
OR971556	2021-07-12	2021.527397
NODE_0000350	2018-09-23	2018.726231
OR971544	2021-10-12	2021.779452
R6-4568	2021-10-13	2021.782192
NODE_0000351	1995-05-25	1995.396330
NODE_0000352	2015-11-24	2015.897863
NODE_0000353	2020-08-05	2020.594633
OR971564	2021-09-11	2021.694521
OR971565	2021-09-11	2021.694521
NODE_0000354	2018-05-30	2018.409875
OR971580	--	--
NODE_0000355	2018-08-15	2018.621233
OR971563	2021-10-26	2021.817808
OR971561	2021-10-18	2021.795890
NODE_0000356	2008-01-30	2008.079893
NODE_0000357	2021-08-18	2021.627455
OR971574	2022-02-14	2022.121918
OR971577	2022-02-28	2022.160274
NODE_0000358	2011-10-10	2011.773261
NODE_0000359	2016-07-05	2016.508976
NODE_0000360	2019-08-30	2019.662786
OR971566	2021-09-11	2021.694521
OR971559	2021-10-13	2021.782192
NODE_0000361	2019-08-08	2019.602482
R7-21-161	2021-10-18	2021.795890
R7-21-149	2021-01-01	2021.001370
NODE_0000362	2014-03-25	2014.227499
NODE_0000363	2017-07-03	2017.501562
NODE_0000364	2017-10-03	2017.753795
OR971578	--	--
OR971562	2021-10-21	2021.804110
NODE_0000365	2020-06-18	2020.462885
OR971581	--	--
NODE_0000366	2021-12-02	2021.919074
OR971573	2022-08-02	2022.584932
OR971572	2022-01-26	2022.069863
NODE_0000367	2015-05-04	2015.338775
OR971576	2022-02-21	2022.141096
NODE_0000368	2016-03-24	2016.228580
NODE_0000369	2016-10-15	2016.788739
OR971575	2022-02-15	2022.124658
NODE_0000370	--	--
OR971579	--	--
NODE_0000371	--	--
OR971583	--	--
OR971582	--	--
NODE_0000372	2019-11-24	2019.897911
OR971568	2021-12-11	2021.943836
NODE_0000373	2020-06-05	2020.427781
OR971571	2022-07-01	2022.497260
OR971560	2021-10-13	2021.782192
NODE_0000375	2021-04-05	2021.259549
OR971569	2021-11-22	2021.891781
OR971570	2021-11-22	2021.891781
OR971567	2021-10-11	2021.776712
NODE_0000287	1946-05-12	1946.359377
NODE_0000288	1977-09-09	1977.690213
NODE_0000289	1987-08-17	1987.626067
NODE_0000290	1989-08-02	1989.583610
Z-98-454	1998-05-04	1998.338356
Z-98-1061	1998-08-05	1998.593151
NODE_0000291	1989-03-06	1989.176564
KX148263	1994-01-01	1994.001370
NODE_0000292	1989-10-11	1989.776817
NODE_0000293	1997-04-25	1997.313646
Z-98-286	1998-03-19	1998.212329
Z-98-860	1998-08-14	1998.617808
NODE_0000294	1990-07-08	1990.516614
Z-98-285	1998-03-18	1998.209589
NODE_0000295	1993-02-12	1993.116521
Z-98-780	1998-07-25	1998.563014
NODE_0000296	1997-03-25	1997.228196
Z-06-150	2006-04-24	2006.310959
Z-98-718	1998-07-13	1998.530137
NODE_0000297	1992-11-19	1992.885035
NODE_0000298	2001-06-07	2001.430758
Z-13-216	2013-10-25	2013.815068
NODE_0000299	2013-05-02	2013.331721
Z-17-57	2017-03-29	2017.239726
NODE_0000300	2020-11-27	2020.906266
H24-028	2024-03-27	2024.236339
RADDL4B-25-017	2025-03-07	2025.179452
NODE_0000301	2004-06-12	2004.445818
Z-13-098	2013-05-13	2013.363014
NODE_0000302	2004-08-11	2004.611699
NODE_0000303	2004-12-19	2004.965097
Z-08-359	2008-12-25	2008.982240
NODE_0000304	2007-04-09	2007.269653
Z-14-149	2014-06-28	2014.489041
NODE_0000305	2008-02-06	2008.098971
Z-14-243	2014-11-13	2014.867123
NODE_0000306	2011-11-17	2011.878766
Z-13-204	2013-09-26	2013.735616
NODE_0000307	2012-03-25	2012.229885
Z-13-234	2013-11-15	2013.872603
Z-13-081	2013-04-25	2013.313699
NODE_0000308	2007-04-30	2007.326547
NODE_0000309	2009-07-24	2009.559699
Z-13-065	2013-04-04	2013.256164
NODE_0000310	2010-11-06	2010.848346
Z-16-209	2016-12-14	2016.952186
NODE_0000311	2011-05-29	2011.406955
Z-13-184	2013-08-29	2013.658904
Z-13-171	2013-08-05	2013.593151
NODE_0000312	2008-01-25	2008.067502
NODE_0000313	2010-08-24	2010.644898
Z-12-212	2012-04-20	2012.301913
Z-14-146	2014-06-26	2014.483562
NODE_0000314	2012-05-01	2012.330609
OR971448	2019-08-01	2019.582192
Z-19-029	2019-02-26	2019.154795
NODE_0000286	1954-12-19	1954.964954
NODE_0000377	1961-11-21	1961.888812
OR971592	2019-10-09	2019.771233
NODE_0000378	1982-04-25	1982.313916
NODE_0000379	1988-03-26	1988.233512
NODE_0000380	2008-12-02	2008.920052
NODE_0000381	2015-09-15	2015.705793
OQ326778	2018-01-01	2018.001370
OQ326774	2018-01-01	2018.001370
NODE_0000382	2015-12-12	2015.945561
OR971632	2022-02-15	2022.124658
OR971675	2021-10-20	2021.801370
NODE_0000385	2016-06-04	2016.426189
OQ326748	2018-01-01	2018.001370
NODE_0000386	2017-06-18	2017.462543
OQ326770	2019-01-01	2019.001370
R11-22-001	2022-01-01	2022.001370
NODE_0000110	2018-01-01	2018.001370
OQ326764	2018-01-01	2018.001370
NODE_0000387	2020-11-21	2020.890067
OR971637	2022-04-01	2022.247945
OR971638	2022-04-25	2022.313699
NODE_0000390	2014-10-19	2014.798145
NODE_0000391	2015-03-01	2015.163912
NODE_0000392	2016-12-20	2016.969418
OQ326754	2018-01-01	2018.001370
NODE_0000393	2017-02-26	2017.155194
OQ326771	2018-01-01	2018.001370
OQ326767	2018-01-01	2018.001370
NODE_0000394	2016-12-15	2016.954311
