"","sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"1","4A-22-40","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode04",NA,"Single run",NA,"37660","37660","2143.286708","719.6691412","2099","0","3920","11895","11886","11885","11676","No","NA","11785","4A-22-40__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"2","4A-22-98","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode05",NA,"Single run",NA,"46433","46433","2301.151022","848.9059604","2193","0","4276","11887","11886","11885","11676","No","NA","11792","4A-22-98__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"3","4A-22-104","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67517",NA,"Amplicon","barcode06",NA,"Single run",NA,"62538","62538","2734.587663","1135.203836","2625","0","6111","11897","11677","11676","11676","No","NA","11591","4A-22-104__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"4","4A-22-171","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode24",NA,"Single run",NA,"40941","40941","1328.048776","819.7012991","1165","0","3971","11683","11677","11676","11669","No","NA","11597","4A-22-171__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"5","4A-22-203","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAU43074",NA,"Amplicon","barcode25",NA,"Single run",NA,"37558","37558","1190.401022","855.1184059","1151","0","4038","11681","11392","11354","10995","No","PP858767","11261","4A-22-203__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"6","4B-21-29","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode06",NA,"Single run",NA,"29965","29965","1014.977204","521.3244337","952","0","2368","11897","11886","11885","11859","No","NA","11791","4B-21-29__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"7","4B-21-35","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode07",NA,"Single run",NA,"31723","31723","1093.751006","623.6411208","975","0","2662","11896","11886","11723","11216","No","NA","11593","4B-21-35__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"8","4B-21-126","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ67614",NA,"Amplicon","barcode02",NA,"Single run",NA,"91407","91407","3955.795759","1545.948115","3821","0","8142","11895","11887","11886","11885","No","NA","11788","4B-21-126__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"9","4B-21-310","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode08",NA,"Single run",NA,"87245","87245","2971.537127","1688.145724","2794","0","7448","11887","11886","11726","11722","No","NA","11591","4B-21-310__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
"10","4B-21-412","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia","Minion","FAQ72364",NA,"Amplicon","barcode09",NA,"Single run",NA,"31268","31268","1182.667784","590.253369","1103","0","2734","11887","11886","11886","11722","No","NA","11799","4B-21-412__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA
