"raw_name","barangay_std","municipality_std","province_std"
"Poblacion",NA,"Palawan-Narra","Palawan"
"Malibago",NA,"Marinduque-Buenavista","Marinduque"
"Canubing I",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
"Camilmil",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
"Baruyan",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
"Ilaya",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
"Parang",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
NA,NA,NA,""
NA,NA,NA,""
NA,NA,NA,""
NA,NA,NA,""
NA,NA,NA,""
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"ComVal",NA,NA,"Davao de Oro (Compostela Valley)"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Toril",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Samal",NA,"Davao del Norte-Carmen","Davao del Norte"
"Toril",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Digos",NA,"Davao del Sur-Sulop","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"San isidro matua (pob.)",NA,"Pampanga-Masantol","Pampanga"
"Gordon heights",NA,"Zambales-Olongapo City","Zambales"
"Dionisio s. Garcia",NA,"Nueva Ecija-Cabanatuan City","Nueva ecija"
"Pulong santol",NA,"Pampanga-Porac","Pampanga"
"Santo cristo",NA,"Bulacan-San Jose del Monte City","Bulacan"
"Dionisio s. Garcia",NA,"Nueva Ecija-Cabanatuan City","Nueva ecija"
"Sangitan east",NA,"Nueva Ecija-Cabanatuan City","Nueva ecija"
"Calapandayan (pob.)",NA,"Zambales-Subic","Zambales"
"Calaylayan (pob.)",NA,"Bataan-Abucay","Bataan"
"Mabiga",NA,"Pampanga-Mabalacat","Pampanga"
"Lourdes (lauc pau)",NA,"Pampanga-Lubao","Pampanga"
"Santa cruz ii",NA,"Bulacan-San Jose del Monte City","Bulacan"
"Francisco homes-guijo",NA,"Bulacan-San Jose del Monte City","Bulacan"
"San jose",NA,"Pampanga-Angeles City","Pampanga"
"Santa cruz",NA,"Nueva Ecija-Gapan City","Nueva ecija"
"Matimbo",NA,"Bulacan-Malolos City","Bulacan"
"Atate",NA,"Nueva Ecija-Palayan City","Nueva ecija"
