"psgc_10","barangay_id","barangay_std","municipality_std","province_std"
"1380100001","80100001","barangay 1","City of Caloocan",NA
"1380100002","80100002","barangay 2","City of Caloocan",NA
"1380100003","80100003","barangay 3","City of Caloocan",NA
"1380100004","80100004","barangay 4","City of Caloocan",NA
"1380100005","80100005","barangay 5","City of Caloocan",NA
"1380100006","80100006","barangay 6","City of Caloocan",NA
"1380100007","80100007","barangay 7","City of Caloocan",NA
"1380100008","80100008","barangay 8","City of Caloocan",NA
"1380100009","80100009","barangay 9","City of Caloocan",NA
"1380100010","80100010","barangay 10","City of Caloocan",NA
"1380100011","80100011","barangay 11","City of Caloocan",NA
"1380100012","80100012","barangay 12","City of Caloocan",NA
"1380100013","80100013","barangay 13","City of Caloocan",NA
"1380100014","80100014","barangay 14","City of Caloocan",NA
"1380100015","80100015","barangay 15","City of Caloocan",NA
"1380100016","80100016","barangay 16","City of Caloocan",NA
"1380100017","80100017","barangay 17","City of Caloocan",NA
"1380100018","80100018","barangay 18","City of Caloocan",NA
"1380100019","80100019","barangay 19","City of Caloocan",NA
"1380100020","80100020","barangay 20","City of Caloocan",NA
"1380100021","80100021","barangay 21","City of Caloocan",NA
"1380100022","80100022","barangay 22","City of Caloocan",NA
"1380100023","80100023","barangay 23","City of Caloocan",NA
"1380100024","80100024","barangay 24","City of Caloocan",NA
"1380100025","80100025","barangay 25","City of Caloocan",NA
"1380100026","80100026","barangay 26","City of Caloocan",NA
"1380100027","80100027","barangay 27","City of Caloocan",NA
"1380100028","80100028","barangay 28","City of Caloocan",NA
"1380100029","80100029","barangay 29","City of Caloocan",NA
"1380100030","80100030","barangay 30","City of Caloocan",NA
"1380100031","80100031","barangay 31","City of Caloocan",NA
"1380100032","80100032","barangay 32","City of Caloocan",NA
"1380100033","80100033","barangay 33","City of Caloocan",NA
"1380100034","80100034","barangay 34","City of Caloocan",NA
"1380100035","80100035","barangay 35","City of Caloocan",NA
"1380100036","80100036","barangay 36","City of Caloocan",NA
"1380100037","80100037","barangay 37","City of Caloocan",NA
"1380100038","80100038","barangay 38","City of Caloocan",NA
"1380100039","80100039","barangay 39","City of Caloocan",NA
"1380100040","80100040","barangay 40","City of Caloocan",NA
"1380100041","80100041","barangay 41","City of Caloocan",NA
"1380100042","80100042","barangay 42","City of Caloocan",NA
"1380100043","80100043","barangay 43","City of Caloocan",NA
"1380100044","80100044","barangay 44","City of Caloocan",NA
"1380100045","80100045","barangay 45","City of Caloocan",NA
"1380100046","80100046","barangay 46","City of Caloocan",NA
"1380100047","80100047","barangay 47","City of Caloocan",NA
"1380100048","80100048","barangay 48","City of Caloocan",NA
"1380100049","80100049","barangay 49","City of Caloocan",NA
"1380100050","80100050","barangay 50","City of Caloocan",NA
"1380100051","80100051","barangay 51","City of Caloocan",NA
"1380100052","80100052","barangay 52","City of Caloocan",NA
"1380100053","80100053","barangay 53","City of Caloocan",NA
"1380100054","80100054","barangay 54","City of Caloocan",NA
"1380100055","80100055","barangay 55","City of Caloocan",NA
"1380100056","80100056","barangay 56","City of Caloocan",NA
"1380100057","80100057","barangay 57","City of Caloocan",NA
"1380100058","80100058","barangay 58","City of Caloocan",NA
"1380100059","80100059","barangay 59","City of Caloocan",NA
"1380100060","80100060","barangay 60","City of Caloocan",NA
"1380100061","80100061","barangay 61","City of Caloocan",NA
"1380100062","80100062","barangay 62","City of Caloocan",NA
"1380100063","80100063","barangay 63","City of Caloocan",NA
"1380100064","80100064","barangay 64","City of Caloocan",NA
"1380100065","80100065","barangay 65","City of Caloocan",NA
"1380100066","80100066","barangay 66","City of Caloocan",NA
"1380100067","80100067","barangay 67","City of Caloocan",NA
"1380100068","80100068","barangay 68","City of Caloocan",NA
"1380100069","80100069","barangay 69","City of Caloocan",NA
"1380100070","80100070","barangay 70","City of Caloocan",NA
"1380100071","80100071","barangay 71","City of Caloocan",NA
"1380100072","80100072","barangay 72","City of Caloocan",NA
"1380100073","80100073","barangay 73","City of Caloocan",NA
"1380100074","80100074","barangay 74","City of Caloocan",NA
"1380100075","80100075","barangay 75","City of Caloocan",NA
"1380100076","80100076","barangay 76","City of Caloocan",NA
"1380100077","80100077","barangay 77","City of Caloocan",NA
"1380100078","80100078","barangay 78","City of Caloocan",NA
"1380100079","80100079","barangay 79","City of Caloocan",NA
"1380100080","80100080","barangay 80","City of Caloocan",NA
"1380100081","80100081","barangay 81","City of Caloocan",NA
"1380100082","80100082","barangay 82","City of Caloocan",NA
"1380100083","80100083","barangay 83","City of Caloocan",NA
"1380100084","80100084","barangay 84","City of Caloocan",NA
"1380100085","80100085","barangay 85","City of Caloocan",NA
"1380100086","80100086","barangay 86","City of Caloocan",NA
"1380100087","80100087","barangay 87","City of Caloocan",NA
"1380100088","80100088","barangay 88","City of Caloocan",NA
"1380100089","80100089","barangay 89","City of Caloocan",NA
"1380100090","80100090","barangay 90","City of Caloocan",NA
"1380100091","80100091","barangay 91","City of Caloocan",NA
"1380100092","80100092","barangay 92","City of Caloocan",NA
"1380100093","80100093","barangay 93","City of Caloocan",NA
"1380100094","80100094","barangay 94","City of Caloocan",NA
"1380100095","80100095","barangay 95","City of Caloocan",NA
"1380100096","80100096","barangay 96","City of Caloocan",NA
"1380100097","80100097","barangay 97","City of Caloocan",NA
"1380100098","80100098","barangay 98","City of Caloocan",NA
"1380100099","80100099","barangay 99","City of Caloocan",NA
"1380100100","80100100","barangay 100","City of Caloocan",NA
"1380100101","80100101","barangay 101","City of Caloocan",NA
"1380100102","80100102","barangay 102","City of Caloocan",NA
"1380100103","80100103","barangay 103","City of Caloocan",NA
"1380100104","80100104","barangay 104","City of Caloocan",NA
"1380100105","80100105","barangay 105","City of Caloocan",NA
"1380100106","80100106","barangay 106","City of Caloocan",NA
"1380100107","80100107","barangay 107","City of Caloocan",NA
"1380100108","80100108","barangay 108","City of Caloocan",NA
"1380100109","80100109","barangay 109","City of Caloocan",NA
"1380100110","80100110","barangay 110","City of Caloocan",NA
"1380100111","80100111","barangay 111","City of Caloocan",NA
"1380100112","80100112","barangay 112","City of Caloocan",NA
"1380100113","80100113","barangay 113","City of Caloocan",NA
"1380100114","80100114","barangay 114","City of Caloocan",NA
"1380100115","80100115","barangay 115","City of Caloocan",NA
"1380100116","80100116","barangay 116","City of Caloocan",NA
"1380100117","80100117","barangay 117","City of Caloocan",NA
"1380100118","80100118","barangay 118","City of Caloocan",NA
"1380100119","80100119","barangay 119","City of Caloocan",NA
"1380100120","80100120","barangay 120","City of Caloocan",NA
"1380100121","80100121","barangay 121","City of Caloocan",NA
"1380100122","80100122","barangay 122","City of Caloocan",NA
"1380100123","80100123","barangay 123","City of Caloocan",NA
"1380100124","80100124","barangay 124","City of Caloocan",NA
"1380100125","80100125","barangay 125","City of Caloocan",NA
"1380100126","80100126","barangay 126","City of Caloocan",NA
"1380100127","80100127","barangay 127","City of Caloocan",NA
"1380100128","80100128","barangay 128","City of Caloocan",NA
"1380100129","80100129","barangay 129","City of Caloocan",NA
"1380100130","80100130","barangay 130","City of Caloocan",NA
"1380100131","80100131","barangay 131","City of Caloocan",NA
"1380100132","80100132","barangay 132","City of Caloocan",NA
"1380100133","80100133","barangay 133","City of Caloocan",NA
"1380100134","80100134","barangay 134","City of Caloocan",NA
"1380100135","80100135","barangay 135","City of Caloocan",NA
"1380100136","80100136","barangay 136","City of Caloocan",NA
"1380100137","80100137","barangay 137","City of Caloocan",NA
"1380100138","80100138","barangay 138","City of Caloocan",NA
"1380100139","80100139","barangay 139","City of Caloocan",NA
"1380100140","80100140","barangay 140","City of Caloocan",NA
"1380100141","80100141","barangay 141","City of Caloocan",NA
"1380100142","80100142","barangay 142","City of Caloocan",NA
"1380100143","80100143","barangay 143","City of Caloocan",NA
"1380100144","80100144","barangay 144","City of Caloocan",NA
"1380100145","80100145","barangay 145","City of Caloocan",NA
"1380100146","80100146","barangay 146","City of Caloocan",NA
"1380100147","80100147","barangay 147","City of Caloocan",NA
"1380100148","80100148","barangay 148","City of Caloocan",NA
"1380100149","80100149","barangay 149","City of Caloocan",NA
"1380100150","80100150","barangay 150","City of Caloocan",NA
"1380100151","80100151","barangay 151","City of Caloocan",NA
"1380100152","80100152","barangay 152","City of Caloocan",NA
"1380100153","80100153","barangay 153","City of Caloocan",NA
"1380100154","80100154","barangay 154","City of Caloocan",NA
"1380100155","80100155","barangay 155","City of Caloocan",NA
"1380100156","80100156","barangay 156","City of Caloocan",NA
"1380100157","80100157","barangay 157","City of Caloocan",NA
"1380100158","80100158","barangay 158","City of Caloocan",NA
"1380100159","80100159","barangay 159","City of Caloocan",NA
"1380100160","80100160","barangay 160","City of Caloocan",NA
"1380100161","80100161","barangay 161","City of Caloocan",NA
"1380100162","80100162","barangay 162","City of Caloocan",NA
"1380100163","80100163","barangay 163","City of Caloocan",NA
"1380100164","80100164","barangay 164","City of Caloocan",NA
"1380100165","80100165","barangay 165","City of Caloocan",NA
"1380100166","80100166","barangay 166","City of Caloocan",NA
"1380100167","80100167","barangay 167","City of Caloocan",NA
"1380100168","80100168","barangay 168","City of Caloocan",NA
"1380100169","80100169","barangay 169","City of Caloocan",NA
"1380100170","80100170","barangay 170","City of Caloocan",NA
