"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Barangay","Municipality","Province","Region","Latitude","Longitude","Source"
"RADDL4B-23-096","M-16",NA,"Dog",NA,"24-Nov-2023","Poras","Boac","Marinduque","MIMIROPA",13.45804967,121.8323598,"speedier"
"RADDL4B-23-071","M-8",NA,"Dog",NA,"21-Oct-2023","Isok I","Boac","Marinduque","MIMIROPA",13.44349385,121.8423679,"speedier"
"RADDL4B-24-010","M-37",NA,"Dog",NA,"23-Jan-2024","Lupac","Boac","Marinduque","MIMIROPA",13.45972903,121.8180698,"speedier"
"RADDL4B-24-083","M-90",NA,"Dog",NA,"18-Apr-2024","Bagtingon","Buenavista","Marinduque","MIMIROPA",13.29758071,121.9513758,"speedier"
"RADDL4B-24-130","M-116",NA,"Dog",NA,"05-Jun-2024","Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier"
"RADDL4B-23-053","R-62",NA,"Dog",NA,"21-Aug-2023","Mat-I","Santa Fe","Romblon","MIMIROPA",12.1825790019622,121.982068760844,"speedier"
"RADDL4B-24-182","M-133",NA,"Pig",NA,"09-Oct-2024","Tungib-Lipata","Buenavista","Marinduque","MIMIROPA",13.213965,122.009705,"speedier"
"RADDL4B-24-147","M-120",NA,"Dog",NA,"11-Jun-2024","Lupac","Boac","Marinduque","MIMIROPA",13.459422,121.818596,"speedier"
"RADDL4B-24-150","M-123",NA,"Dog",NA,"28-Jun-2024","Barangay IV","Buenavista","Marinduque","MIMIROPA",13.255256,121.94732,"speedier"
"RADDL4B-24-148","M-121",NA,"Dog",NA,"15-Jun-2024","Libas","Buenavista","Marinduque","MIMIROPA",13.241554,121.9627,"speedier"
"RADDL4B-23-037","R-53",NA,"Dog",NA,NA,"Dubduban","San Agustin","Romblon","MIMIROPA",12.57913568,122.1110393,"speedier"
"RADDL4B-23-091","OM-42",NA,"Dog",NA,"17-Nov-2023","San Isidro","Puerto Galera","Or. Mindoro","MIMIROPA",13.37785692,120.8703821,"speedier"
