queryName     	major_cladeFinalClade 	minor_cladeFinalClade 
 KX148263          	 AL_Asian              	 AL_Asian_SEA4         
 KX148262          	 AL_Asian              	 AL_Asian_SEA4         
 KX148261          	 AL_Asian              	 AL_Asian_SEA4         
 KX148260          	 AL_Asian              	 AL_Asian_SEA4         
 KX148259          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326754          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326753          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326752          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326751          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326750          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326749          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326748          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326747          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326746          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326745          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326744          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326743          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326742          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326741          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326740          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326739          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326738          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326737          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326736          	 AL_Asian              	 AL_Asian_SEA4         
 OR971444          	 AL_Asian              	 AL_Asian_SEA4         
 OR971443          	 AL_Asian              	 AL_Asian_SEA4         
 OR971442          	 AL_Asian              	 AL_Asian_SEA4         
 OR971441          	 AL_Asian              	 AL_Asian_SEA4         
 OR971440          	 AL_Asian              	 AL_Asian_SEA4         
 OR971439          	 AL_Asian              	 AL_Asian_SEA4         
 OR971438          	 AL_Asian              	 AL_Asian_SEA4         
 OR971437          	 AL_Asian              	 AL_Asian_SEA4         
 OR971436          	 AL_Asian              	 AL_Asian_SEA4         
 OR971435          	 AL_Asian              	 AL_Asian_SEA4         
 OR971434          	 AL_Asian              	 AL_Asian_SEA4         
 OR971433          	 AL_Asian              	 AL_Asian_SEA4         
 OR971432          	 AL_Asian              	 AL_Asian_SEA4         
 OR971431          	 AL_Asian              	 AL_Asian_SEA4         
 OR971430          	 AL_Asian              	 AL_Asian_SEA4         
 OR971429          	 AL_Asian              	 AL_Asian_SEA4         
 OR971428          	 AL_Asian              	 AL_Asian_SEA4         
 OR971427          	 AL_Asian              	 AL_Asian_SEA4         
