"seq_name","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","seq_name.y"
"KX148263",NA,NA,NA,NA,"=""01-Jan-1994""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KX148262",NA,NA,NA,NA,"=""01-Jan-1994""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KX148261",NA,NA,NA,NA,"=""01-Jan-1994""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KX148260",NA,NA,NA,NA,"=""01-Jan-2004""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KX148259",NA,NA,NA,NA,"=""01-Jan-1994""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326754",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326753",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326752",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326751",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326750",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326749",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326748",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326747",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326746",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326745",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326744",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326743",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326742",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326741",NA,NA,NA,NA,"=""01-Jan-2019""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326740",NA,NA,NA,NA,"=""01-Jan-2019""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326739",NA,NA,NA,NA,"=""01-Jan-2019""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326738",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326737",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQ326736",NA,NA,NA,NA,"=""01-Jan-2018""",NA,NA,NA,NA,NA,NA,NA,"Region XI (Davao Region)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971444",NA,NA,NA,NA,"=""01-Nov-2022""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971443",NA,NA,NA,NA,"=""01-Oct-2022""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971442",NA,NA,NA,NA,"=""01-Jul-2022""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971441",NA,NA,NA,NA,"=""18-Jan-2022""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971440",NA,NA,NA,NA,"=""01-Apr-2022""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971439",NA,NA,NA,NA,"=""01-Mar-2022""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971438",NA,NA,NA,NA,"=""25-Oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971437",NA,NA,NA,NA,"=""22-Dec-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971436",NA,NA,NA,NA,"=""12-Sep-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971435",NA,NA,NA,NA,"=""27-Oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971434",NA,NA,NA,NA,"=""13-Oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971433",NA,NA,NA,NA,"=""13-Oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971432",NA,NA,NA,NA,"=""10-Aug-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971431",NA,NA,NA,NA,"=""10-Jul-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971430",NA,NA,NA,NA,"=""10-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971429",NA,NA,NA,NA,"=""10-Apr-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971428",NA,NA,NA,NA,"=""24-Sep-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971427",NA,NA,NA,NA,"=""09-Oct-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971426",NA,NA,NA,NA,"=""09-Sep-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971425",NA,NA,NA,NA,"=""09-Sep-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971424",NA,NA,NA,NA,"=""09-Mar-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971423",NA,NA,NA,NA,"=""31-Aug-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971422",NA,NA,NA,NA,"=""31-Aug-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971421",NA,NA,NA,NA,"=""31-Aug-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971420",NA,NA,NA,NA,"=""24-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR971419",NA,NA,NA,NA,"=""05-May-2021""",NA,NA,NA,NA,NA,NA,NA,"Region III (Central Luzon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
