tip,date,group
Z-24-141,24-Sep-2024,R17
Z-24-142,24-Sep-2024,R17
RADDL4B-23-060,06-Oct-2023,R17
RADDL4B-23-061,09-Oct-2023,R17
RADDL4B-23-070,23-Oct-2023,R17
RADDL4B-23-072,23-Oct-2023,R17
RADDL4B-23-057,24-Sep-2023,R17
RADDL4B-24-019,08-Feb-2024,R17
RADDL4B-24-021,01-Feb-2024,R17
RADDL4B-24-026,16-Feb-2024,R17
RADDL4B-24-027,14-Feb-2024,R17
RADDL4B-24-029,20-Feb-2024,R17
RADDL4B-24-034,29-Feb-2024,R17
RADDL4B-24-035,26-Feb-2024,R17
RADDL4B-24-037,28-Feb-2024,R17
RADDL4B-24-053,17-Mar-2024,R17
RADDL4B-24-055,21-Mar-2024,R17
RADDL4B-24-056,26-Mar-2024,R17
RADDL4B-24-057,20-Jan-2024,R17
RADDL4B-24-058,20-Mar-2024,R17
RADDL4B-24-059,20-Mar-2024,R17
RADDL4B-24-067,20-Feb-2024,R17
RADDL4B-24-070,20-Apr-2024,R17
RADDL4B-24-071,20-May-2024,R17
RADDL4B-24-077,20-Nov-2024,R17
RADDL4B-24-082,18-Apr-2024,R17
RADDL4B-24-102,28-Apr-2024,R17
RADDL4B-23-085,20-Aug-2023,R17
RADDL4B-23-093,26-Nov-2023,R17
RADDL4B-23-095,28-Nov-2023,R17
RADDL4B-23-097,27-Nov-2023,R17
RADDL4B-23-098,27-Nov-2023,R17
RADDL4B-23-099,30-Nov-2023,R17
RADDL4B-23-100,05-Dec-2023,R17
RADDL4B-24-001,05-Jan-2024,R17
RADDL4B-24-011,24-Jan-2024,R17
RADDL4B-24-012,25-Jan-2024,R17
RADDL4B-24-015,31-Jan-2024,R17
RADDL4B-24-016,31-Jan-2024,R17
RADDL4B-24-049,13-Mar-2024,R17
RADDL4B-24-084,19-Apr-2024,R17
RADDL4B-24-085,20-Apr-2024,R17
RADDL4B-24-086,20-Apr-2024,R17
RADDL4B-24-087,21-Apr-2024,R17
RADDL4B-24-088,22-Apr-2024,R17
RADDL4B-24-101,25-Apr-2024,R17
RADDL4B-24-106,20-Mar-2024,R17
RADDL4B-24-120,20-Sep-2024,R17
RADDL4B-24-124,13-May-2024,R17
RADDL4B-23-042,07-Jul-2023,R17
RADDL4B-23-044,01-Aug-2023,R17
RADDL4B-23-045,03-Aug-2023,R17
RADDL4B-23-046,04-Jul-2023,R17
RADDL4B-23-047,23-Aug-2023,R17
RADDL4B-23-049,31-Aug-2023,R17
RADDL4B-23-052,29-Aug-2023,R17
RADDL4B-23-056,11-Sep-2023,R17
RADDL4B-23-058,02-Oct-2023,R17
RADDL4B-23-076,17-Oct-2023,R17
RADDL4B-23-080,26-Oct-2023,R17
RADDL4B-23-081,30-Sep-2023,R17
RADDL4B-23-090,16-Nov-2023,R17
RADDL4B-23-101,05-Dec-2023,R17
RADDL4B-23-104,12-Dec-2023,R17
RADDL4B-23-105,13-Nov-2023,R17
RADDL4B-24-002,09-Jan-2024,R17
RADDL4B-24-003,09-Jan-2024,R17
RADDL4B-24-017,25-Jan-2024,R17
RADDL4B-24-023,15-Feb-2024,R17
RADDL4B-24-028,14-Feb-2024,R17
RADDL4B-24-038,05-Mar-2024,R17
RADDL4B-24-042,12-Feb-2024,R17
RADDL4B-24-043,04-Mar-2024,R17
RADDL4B-24-046,10-Mar-2024,R17
RADDL4B-24-051,26-Mar-2024,R17
RADDL4B-24-054,20-Mar-2024,R17
RADDL4B-24-063,13-Apr-2024,R17
RADDL4B-24-066,20-Oct-2024,R17
RADDL4B-24-069,20-Mar-2024,R17
RADDL4B-24-073,20-Jul-2024,R17
RADDL4B-24-074,20-Nov-2024,R17
RADDL4B-24-076,20-Jul-2024,R17
RADDL4B-24-078,20-Dec-2024,R17
RADDL4B-24-081,15-Apr-2024,R17
RADDL4B-24-099,20-Mar-2024,R17
RADDL4B-24-098,30-Apr-2024,R17
RADDL4B-24-097,26-Apr-2024,R17
RADDL4B-24-096,15-Apr-2024,R17
RADDL4B-24-095,20-Mar-2024,R17
RADDL4B-24-018,01-Feb-2024,R17
RADDL4B-24-014,29-Jan-2024,R17
RADDL4B-24-009,29-Jan-2024,R17
RADDL4B-24-138,20-Jun-2024,R17
RADDL4B-24-154,15-Jul-2024,R17
RADDL4B-24-155,11-Jul-2024,R17
RADDL4B-24-100,24-Apr-2024,R17
RADDL4B-24-112,16-May-2024,R17
RADDL4B-24-113,20-Aug-2024,R17
RADDL4B-24-114,18-May-2024,R17
RADDL4B-24-116,13-May-2024,R17
RADDL4B-24-117,20-Aug-2024,R17
RADDL4B-24-121,20-Sep-2024,R17
RADDL4B-24-122,20-Oct-2024,R17
RADDL4B-24-153,25-Jul-2024,R17
RADDL4B-24-156,26-Jul-2024,R17
RADDL4B-24-157,08-Jul-2024,R17
RADDL4B-24-173,20-Aug-2024,R17
RADDL4B-24-174,22-Nov-2024,R17
RADDL4B-24-178,15-Jul-2024,R17
RADDL4B-24-180,22-Aug-2024,R17
RADDL4B-24-181,09-Sep-2024,R17
RADDL4B-24-183,20-Nov-2024,R17
RADDL4B-24-185,20-Nov-2024,R17
RADDL4B-24-186,20-Dec-2024,R17
RADDL4B-24-187,20-Nov-2024,R17
RADDL4B-24-188,29-Nov-2024,R17
RADDL4B-25-005,17-Dec-2024,R17
RADDL4B-25-006,20-Dec-2024,R17
RADDL4B-25-008,04-Jan-2025,R17
RADDL4B-25-009,09-Jan-2025,R17
RADDL4B-25-017,07-Mar-2025,R17
RADDL4B-24-151,08-Jul-2024,R17
RADDL4B-23-089,20-Jul-2023,R17
RADDL4B-23-092,07-Dec-2023,R17
RADDL4B-23-094,28-Nov-2023,R17
RADDL4B-24-007,17-Jan-2024,R17
RADDL4B-24-013,16-Jan-2024,R17
RADDL4B-24-030,17-Feb-2024,R17
RADDL4B-24-048,07-Mar-2024,R17
RADDL4B-24-052,29-Mar-2024,R17
RADDL4B-24-062,20-Jan-2024,R17
RADDL4B-24-080,18-Apr-2024,R17
RADDL4B-24-093,29-Apr-2024,R17
RADDL4B-24-107,20-Mar-2024,R17
RADDL4B-24-125,13-May-2024,R17
RADDL4B-24-127,16-May-2024,R17
H24-028,27-Mar-2024,R17
RADDL4B-23-065,23-Oct-2023,R17
RADDL4B-24-162,27-Sep-2024,R17
RADDL4B-24-184,19-Nov-2024,R17
RADDL4B-25-022,20-Dec-2025,R17
RADDL4B-25-032,06-Jun-2025,R17
RADDL4B-25-039,21-Jul-2025,R17
KX148263,01-Jan-1994,NA
KX148262,01-Jan-1994,NA
KX148261,01-Jan-1994,NA
KX148260,01-Jan-2004,NA
KX148259,01-Jan-1994,NA
OQ326754,01-Jan-2018,R11
OQ326753,01-Jan-2018,R11
OQ326752,01-Jan-2018,R11
OQ326751,01-Jan-2018,R11
OQ326750,01-Jan-2018,R11
OQ326749,01-Jan-2018,R11
OQ326748,01-Jan-2018,R11
OQ326747,01-Jan-2018,R11
OQ326746,01-Jan-2018,R11
OQ326745,01-Jan-2018,R11
OQ326744,01-Jan-2018,R11
OQ326743,01-Jan-2018,R11
OQ326742,01-Jan-2018,R11
OQ326741,01-Jan-2019,R11
