name,date
14,2019.07397
153,2018.3726
KX148260,2004
OQ326757,2018
OQ326761,2018
OQ326764,2018
OQ326750,2018
OQ326755,2018
OQ326752,2018
OQ326754,2018
OQ326751,2018
OQ326749,2018
OQ326756,2018
OQ326753,2018
OQ326758,2018
OQ326762,2018
OQ326766,2018
OQ326759,2018
OQ326760,2018
OQ326767,2018
OQ326748,2018
OQ326784,2018
OQ326776,2018
OQ326772,2018
OQ326774,2018
OQ326773,2018
OQ326744,2018
OQ326747,2018
OQ326738,2018
OQ326737,2018
OQ326743,2018
OQ326775,2018
OQ326783,2018
OQ326777,2018
OQ326746,2018
OQ326768,2018
OQ326780,2018
OQ326779,2018
OQ326736,2018
OQ326781,2018
OQ326745,2018
OQ326742,2018
OQ326782,2018
OQ326778,2018
OQ326769,2018
OQ326771,2018
OQ326740,2019
OQ326741,2019
OQ326739,2019
OQ326770,2019
OQ326763,2019
OQ326765,2019
19-30,2019.83562
19-40,2019.15616
4A-22-104,2022.06575
4A-22-171,2022.09863
4A-22-203,2022.11233
4A-22-40,2022.02466
4A-22-98,2022.05753
4B-21-126,2021.06849
4B-21-29,2021.10685
4B-21-310,2021.1863
4B-21-35,2021.1726
4B-21-412,2021.27671
4B-21-421,2021.28219
4B-21-423,2021.30685
4B-21-528,2021.40274
4B-21622,2022.12603
4B-22-114,2022.03562
4B-22-13,2022.30411
4B-22-15,2022.01096
4B-22-16,2022.32055
4B-22-17,2022.34795
4B-22-20,2022.37808
4B-22-21,2022.41096
4B-22-28,2022.56712
4B-22-30,2022.61096
4B-22-31,2022.6274
4B-22-35,2022.8137
4B-22-37,2022.74795
4B-22-39,2022.80274
4B-22-40,2022.91781
4B-22-41,2022.89589
4B-22-42,2022.90137
4B-22-44,2022.94247
4B-22-45,2022.94521
4B-23-01,2023.05205
4B-23-02,2023.03288
4B-23-03,2023.05753
4B-23-04,2023.08219
4B-23-05,2023.05205
4B-23-06,2023.08767
4B-23-07,2023.10137
4B-23-11,2023.10137
4B-23-12,2023.12055
4B-23-13,2023.10685
4B-23-15,2023.12603
4B-23-16,2023.1589
4B-23-17,2023.16164
4B-23-19,2023.16164
4B-2422,2022.09315
4B-2922HM,2022.10685
4B-2922JG,2022.10685
KX148259,1994
KX148263,1994
KX148262,1994
KX148261,1994
MN857171,2019.34247
MN857170,2019.4
MN857167,2019.48219
MN857168,2019.40274
MN857169,2019.41096
OR971323,2019.64932
OR971324,2019.67397
OR971325,2019.70685
OR971326,2019.73425
OR971327,2019.72603
OR971328,2019.78356
OR971329,2019.82192
OR971330,2021.14795
OR971331,2021.1589
OR971332,2021.18904
OR971333,2021.33425
OR971334,2021.35342
OR971335,2021.36438
OR971336,2021.59452
OR971337,2021.46027
OR971338,2021.47945
OR971339,2021.18904
OR971340,2021.87123
OR971341,2022.24658
OR971342,2022.4137
OR971343,2022.03562
OR971344,2022.00274
OR971345,2022.75342
OR971346,2022.20274
CAR-22-018,2022
CAR-22-020,2022
H24-028,2024.23497
OR971347,2019.67671
OR971348,2019.72877
OR971349,2019.74521
OR971350,2020.09563
OR971351,2020.2459
OR971352,2020.45355
OR971353,2020.55738
OR971354,2020.64481
OR971355,2020.72131
OR971356,2020.02459
OR971357,2021.52055
OR971358,2021.78082
OR971359,2021.11233
OR971360,2021.35616
OR971361,2022.43836
OR971362,2022.44658
OR971363,2022.48493
OR971364,2022.48767
OR971365,2022.55068
OR971366,2022.59178
