Sample_ID,Case_no,Accession,Host,Sample_type,Preferred_date,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
CAR-2022-007,NA,OR971344,Canis lupus familiaris,brain,2-Jan-22,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2022-004,NA,OR971343,Canis lupus familiaris,brain,14-Jan-22,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2022-001,NA,OR971341,Canis lupus familiaris,brain,1-Apr-22,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-075,NA,OR971340,Canis lupus familiaris,brain,15-Nov-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-074,NA,OR971339,Canis lupus familiaris,brain,11-Mar-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-044,NA,OR971337,Canis lupus familiaris,brain,18-Jun-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-040,NA,OR971336,Canis lupus familiaris,brain,6-Aug-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-033,NA,OR971334,Canis lupus familiaris,brain,10-May-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-016,NA,OR971331,Canis lupus familiaris,brain,28-Feb-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
CAR-2021-015,NA,OR971330,Canis lupus familiaris,brain,24-Feb-21,NA,NA,NA,Abra,NA,NA,NA,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151
