"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Province","Region","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage"
"Z-24-141","P-34",NA,"Dog",NA,"24-Sep-2024",NA,"Poblacion","Narra","Palawan","MIMIROPA",9.250884096,118.3463664,"speedier",NA,NA,0.9884
"Z-24-142","P-35",NA,"Dog",NA,"24-Sep-2024",NA,"Culandanum","Bataraza","Palawan","MIMIROPA",8.6727041,117.450586,"speedier",NA,NA,0.9716
"RADDL4B-23-060","M-2",NA,"Dog",NA,"06-Oct-2023",NA,"Balogo","Boac","Marinduque","MIMIROPA",13.46850874,121.8289235,"speedier",NA,NA,0.9716
"RADDL4B-23-061","M-3",NA,"Dog",NA,"09-Oct-2023",NA,"Agumaymayan","Boac","Marinduque","MIMIROPA",13.44998665,121.8994821,"speedier",NA,NA,0.9885
"RADDL4B-23-070","M-10",NA,"Dog",NA,"23-Oct-2023",NA,"Pili","Boac","Marinduque","MIMIROPA",13.46393265,121.8260512,"speedier",NA,NA,0.9885
"RADDL4B-23-072","M-9",NA,"Dog",NA,"23-Oct-2023",NA,"Bocboc","Mogpog","Marinduque","MIMIROPA",13.47143036,121.9410823,"speedier",NA,NA,0.9713
"RADDL4B-23-057","M-1",NA,"Pig",NA,"24-Sep-2023",NA,"Apitong","Boac","Marinduque","MIMIROPA",13.45365494,121.8709323,"speedier",NA,NA,0.9887
"RADDL4B-24-019","M-47",NA,"Pig",NA,"08-Feb-2024",NA,"Daykitin","Buenavista","Marinduque","MIMIROPA",13.27382681,121.9228134,"speedier",NA,NA,0.9885
"RADDL4B-24-021","M-44",NA,"Dog",NA,"01-Feb-2024",NA,"Tabi","Boac","Marinduque","MIMIROPA",13.45428134,121.8406166,"speedier",NA,NA,0.9721
"RADDL4B-24-026","M-53",NA,"Dog",NA,"16-Feb-2024",NA,"Bangbangalon","Boac","Marinduque","MIMIROPA",13.43848981,121.8276107,"speedier",NA,NA,0.972
"RADDL4B-24-027","M-52",NA,"Dog",NA,"14-Feb-2024",NA,"Daykitin","Buenavista","Marinduque","MIMIROPA",13.27382681,121.9228134,"speedier",NA,NA,0.9716
"RADDL4B-24-029","M-50",NA,"Dog",NA,"20-Feb-2024",NA,"Caigangan","Buenavista","Marinduque","MIMIROPA",13.26212226,121.9342731,"speedier",NA,NA,0.9716
"RADDL4B-24-034","M-55",NA,"Dog",NA,"29-Feb-2024",NA,"Bamban","Boac","Marinduque","MIMIROPA",13.42366341,121.8779105,"speedier",NA,NA,0.9713
"RADDL4B-24-035","M-56",NA,"Dog",NA,"26-Feb-2024",NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9889
"RADDL4B-24-037","M-58",NA,"Dog",NA,"28-Feb-2024",NA,"Buangan","Torrijos","Marinduque","MIMIROPA",13.31305087,122.0537056,"speedier",NA,NA,0.9718
"RADDL4B-24-053","M-65",NA,"Dog",NA,"17-Mar-2024",NA,"Barangay 1","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9718
"RADDL4B-24-055","M-67",NA,"Dog",NA,"21-Mar-2024",NA,"Barangay 2","Buenavista","Marinduque","MIMIROPA",13.25463205,121.9448458,"speedier",NA,NA,0.9888
"RADDL4B-24-056","M-68",NA,"Dog",NA,"26-Mar-2024",NA,"Barangay 1","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9892
"RADDL4B-24-057","M-69",NA,"Dog",NA,"20-Jan-2024",NA,"Barangay 1","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.9884
"RADDL4B-24-058","M-70",NA,"Dog",NA,"20-Mar-2024",NA,"Mendez","Mogpog","Marinduque","MIMIROPA",13.5108188,121.8994064,"speedier",NA,NA,0.9717
"RADDL4B-24-059","M-71",NA,"Dog",NA,"20-Mar-2024",NA,"Villa Mendez","Mogpog","Marinduque","MIMIROPA",13.47788656,121.8607316,"speedier",NA,NA,0.9888
"RADDL4B-24-067","M-75",NA,"Dog",NA,"20-Feb-2024",NA,"Cabugao","Gasan","Marinduque","MIMIROPA",13.35486893,121.8479733,"speedier",NA,NA,0.9892
"RADDL4B-24-070","M-78",NA,"Dog",NA,"20-Apr-2024",NA,"Malibago","Buenavista","Marinduque","MIMIROPA",13.28798166,122.0068653,"speedier",NA,NA,0.9883
"RADDL4B-24-071","M-79",NA,"Dog",NA,"20-May-2024",NA,"Murallon","Boac","Marinduque","MIMIROPA",13.44947749,121.8370936,"speedier",NA,NA,0.9722
"RADDL4B-24-077","M-85",NA,"Dog",NA,"20-Nov-2024",NA,"Bicas-Bicas","Buenavista","Marinduque","MIMIROPA",13.24157594,122.0002222,"speedier",NA,NA,0.9887
"RADDL4B-24-082","M-89",NA,"Dog",NA,"18-Apr-2024",NA,"Mahunig","Gasan","Marinduque","MIMIROPA",13.31497743,121.8549846,"speedier",NA,NA,0.9884
"RADDL4B-24-102","M-100",NA,"Dog",NA,"28-Apr-2024",NA,"Bagacay","Buenavista","Marinduque","MIMIROPA",13.24881654,121.9900226,"speedier",NA,NA,0.9886
"RADDL4B-23-085","M-13",NA,"Dog",NA,"08-Nov-2023",NA,"Maligaya","Boac","Marinduque","MIMIROPA",13.47444205,121.840682,"speedier",NA,NA,0.9891
"RADDL4B-23-093","M-20",NA,"Goat",NA,"26-Nov-2023",NA,"Lupac","Boac","Marinduque","MIMIROPA",13.45972903,121.8180698,"speedier",NA,NA,0.9888
"RADDL4B-23-095","M-22",NA,"Dog",NA,"28-Nov-2023",NA,"Laon","Mogpog","Marinduque","MIMIROPA",13.4919948,121.8532421,"speedier",NA,NA,0.9888
"RADDL4B-23-097","M-23",NA,"Dog",NA,"27-Nov-2023",NA,"Poctoy","Boac","Marinduque","MIMIROPA",13.43235691,121.8690073,"speedier",NA,NA,0.9889
"RADDL4B-23-098","M-24",NA,"Dog",NA,"27-Nov-2023",NA,"Cawit","Boac","Marinduque","MIMIROPA",13.38170012,121.8415498,"speedier",NA,NA,0.9887
"RADDL4B-23-099","M-25",NA,"Dog",NA,"30-Nov-2023",NA,"Bunganay","Boac","Marinduque","MIMIROPA",13.38814351,121.830912,"speedier",NA,NA,0.9889
"RADDL4B-23-100","M-26",NA,"Pig",NA,"05-Dec-2023",NA,"Tabigue","Boac","Marinduque","MIMIROPA",13.4508379,121.820882,"speedier",NA,NA,0.9889
"RADDL4B-24-001","M-29",NA,"Dog",NA,"05-Jan-2024",NA,"Dampulan","Torrijos","Marinduque","MIMIROPA",13.23584673,122.0313094,"speedier",NA,NA,0.9891
"RADDL4B-24-011","M-38",NA,"Dog",NA,"24-Jan-2024",NA,"Laylay","Boac","Marinduque","MIMIROPA",13.43668126,121.8203817,"speedier",NA,NA,0.9889
"RADDL4B-24-012","M-40",NA,"Dog",NA,"25-Jan-2024",NA,"Poblacion","Torrijos","Marinduque","MIMIROPA",13.32381038,122.0762274,"speedier",NA,NA,0.9713
"RADDL4B-24-015","M-41",NA,"Dog",NA,"31-Jan-2024",NA,"Tampus","Boac","Marinduque","MIMIROPA",13.44607203,121.8483871,"speedier",NA,NA,0.95
"RADDL4B-24-016","M-42",NA,"Dog",NA,"31-Jan-2024",NA,"San Isidro","Santa Cruz","Marinduque","MIMIROPA",13.52187638,121.937044,"speedier",NA,NA,0.9679
"RADDL4B-24-049","M-63",NA,"Dog",NA,"13-Mar-2024",NA,"Barangay IV","Buenavista","Marinduque","MIMIROPA",13.25222414,121.9482043,"speedier",NA,NA,0.9885
"RADDL4B-24-084","M-91",NA,"Dog",NA,"19-Apr-2024",NA,"Matandang Gasan","Gasan","Marinduque","MIMIROPA",13.32695219,121.8773683,"speedier",NA,NA,0.9888
"RADDL4B-24-085","M-92",NA,"Dog",NA,"20-Apr-2024",NA,"Malibago","Torrijos","Marinduque","MIMIROPA",13.28714633,122.0077236,"speedier",NA,NA,0.9883
"RADDL4B-24-086","M-93",NA,"Dog",NA,"20-Apr-2024",NA,"Pulong-Parang","Santa Cruz","Marinduque","MIMIROPA",13.41549537,122.0584289,"speedier",NA,NA,0.9345
"RADDL4B-24-087","M-94",NA,"Dog",NA,"21-Apr-2024",NA,"Marlangga","Torrijos","Marinduque","MIMIROPA",13.33186615,122.0865576,"speedier",NA,NA,0.9712
"RADDL4B-24-088","M-95",NA,"Dog",NA,"22-Apr-2024",NA,"Mangiliol","Gasan","Marinduque","MIMIROPA",13.35766762,121.8384787,"speedier",NA,NA,0.9155
"RADDL4B-24-101","M-99",NA,"Dog",NA,"25-Apr-2024",NA,"Poras","Boac","Marinduque","MIMIROPA",13.45804967,121.8323598,"speedier",NA,NA,0.9888
"RADDL4B-24-106","M-104",NA,"Dog",NA,"20-Mar-2024",NA,"Daykitin","Buenavista","Marinduque","MIMIROPA",13.27382681,121.9228134,"speedier",NA,NA,0.9885
"RADDL4B-24-120","M-106",NA,"Dog",NA,"20-Sep-2024",NA,"Mainit","Boac","Marinduque","MIMIROPA",13.40855837,121.8831096,"speedier",NA,NA,0.9886
"RADDL4B-24-124","M-110",NA,"Dog",NA,"13-May-2024",NA,"Yook","Buenavista","Marinduque","MIMIROPA",13.22428692,121.9851771,"speedier",NA,NA,0.9889
"RADDL4B-23-042","R-56",NA,"Dog",NA,"07-Jul-2023",NA,"Matutuna","San Andres","Romblon","MIMIROPA",12.485430189542,122.037858315898,"speedier",NA,NA,0.9884
"RADDL4B-23-044","OM-35",NA,"Dog",NA,"01-Aug-2023",NA,"Libtong","Roxas","Oriental Mindoro","MIMIROPA",12.62432924,121.5031667,"speedier",NA,NA,0.9893
"RADDL4B-23-045","R-58",NA,"Dog",NA,"03-Aug-2023",NA,"Linawan","San Andres","Romblon","MIMIROPA",12.5613811526055,122.024643646665,"speedier",NA,NA,0.9884
"RADDL4B-23-046","R-59",NA,"Dog",NA,"04-Jul-2023",NA,"Carmen","San Agustin","Romblon","MIMIROPA",12.6207441732869,122.112268131429,"speedier",NA,NA,0.9884
"RADDL4B-23-047","OM-36",NA,"Dog",NA,"23-Aug-2023",NA,"San Isidro","Puerto Galera","Oriental Mindoro","MIMIROPA",13.37785692,120.8703821,"speedier",NA,NA,0.9884
"RADDL4B-23-049","OM-37",NA,"Dog",NA,"31-Aug-2023",NA,"Bagumbayan I","Bongabong","Oriental Mindoro","MIMIROPA",12.74706568,121.4748503,"speedier",NA,NA,0.9889
"RADDL4B-23-052","R-61",NA,"Dog",NA,"29-Aug-2023",NA,"Mat-I","Santa Fe","Romblon","MIMIROPA",12.1825790019622,121.982068760844,"speedier",NA,NA,0.9887
"RADDL4B-23-056","R-63",NA,"Dog",NA,"11-Sep-2023",NA,"Concepcion Norte","Santa Maria","Romblon","MIMIROPA",12.4009725318673,122.089783542696,"speedier",NA,NA,0.9882
"RADDL4B-23-058","OM-38",NA,"Dog",NA,"02-Oct-2023",NA,"Poblacion III","Victoria","Oriental Mindoro","MIMIROPA",13.1693714,121.2550578,"speedier",NA,NA,0.9485
"RADDL4B-23-076","R-66",NA,"Dog",NA,"17-Oct-2023",NA,"Poblacion","Alcantara","Romblon","MIMIROPA",12.2598547361178,122.053286260471,"speedier",NA,NA,0.972
"RADDL4B-23-080","R-67",NA,"Dog",NA,"26-Oct-2023",NA,"Pangulo","Calatrava","Romblon","MIMIROPA",12.6133966287614,122.093403546437,"speedier",NA,NA,0.9874
"RADDL4B-23-081","R-65",NA,"Dog",NA,"30-Sep-2023",NA,"Bachawan","San Agustin","Romblon","MIMIROPA",12.4577618696032,122.090565303083,"speedier",NA,NA,0.9711
"RADDL4B-23-090","OM-41",NA,"Dog",NA,"16-Nov-2023",NA,"Ilag","San Teodoro","Oriental Mindoro","MIMIROPA",13.45164877,120.9775215,"speedier",NA,NA,0.9884
"RADDL4B-23-101","M-27",NA,"Dog",NA,"05-Dec-2023",NA,"Hinapulan","Boac","Marinduque","MIMIROPA",13.40056028,121.9413747,"speedier",NA,NA,0.9886
"RADDL4B-23-104","R-70",NA,"Dog",NA,"12-Dec-2023",NA,"Poblacion","Alcantara","Romblon","MIMIROPA",12.2598547361178,122.053286260471,"speedier",NA,NA,0.9885
"RADDL4B-23-105","R-69",NA,"Dog",NA,"13-Nov-2023",NA,"Poblacion","Looc","Romblon","MIMIROPA",12.2710913046505,122.007370649571,"speedier",NA,NA,0.9878
"RADDL4B-24-002","M-30",NA,"Dog",NA,"09-Jan-2024",NA,"Malusak","Boac","Marinduque","MIMIROPA",13.44708203,121.8412843,"speedier",NA,NA,0.9883
"RADDL4B-24-003","M-31",NA,"Dog",NA,"09-Jan-2024",NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9884
"RADDL4B-24-017","M-39",NA,"Dog",NA,"25-Jan-2024",NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9883
"RADDL4B-24-023","OM-48",NA,"Dog",NA,"15-Feb-2024",NA,"Canubing I","Calapan City","Oriental Mindoro","MIMIROPA",13.34916389,121.1373121,"speedier",NA,NA,0.9882
"RADDL4B-24-028","M-51",NA,"Dog",NA,"14-Feb-2024",NA,"Masiga","Gasan","Marinduque","MIMIROPA",13.35871898,121.8255082,"speedier",NA,NA,0.9884
"RADDL4B-24-038","M-59",NA,"Dog",NA,"05-Mar-2024",NA,"Barangay I","Buenavista","Marinduque","MIMIROPA",13.2559971,121.9418071,"speedier",NA,NA,0.988
"RADDL4B-24-042","R-63",NA,"Dog",NA,"12-Feb-2024",NA,"Mahabang Baybay","San Agustin","Romblon","MIMIROPA",12.6389756037373,122.150335754756,"speedier",NA,NA,0.9884
"RADDL4B-24-043","R-56",NA,"Dog",NA,"04-Mar-2024",NA,"Camili","Alcantara","Romblon","MIMIROPA",12.2601674937412,122.042413009168,"speedier",NA,NA,0.9878
"RADDL4B-24-046","OM-55",NA,"Dog",NA,"10-Mar-2024",NA,"Poblacion I","Victoria","Oriental Mindoro","MIMIROPA",13.17380713,121.2853345,"speedier",NA,NA,0.9888
"RADDL4B-24-051","OM-56",NA,"Dog",NA,"26-Mar-2024",NA,"Bagumbayan","Roxas","Oriental Mindoro","MIMIROPA",12.5902022,121.5209491,"speedier",NA,NA,0.9887
"RADDL4B-24-054","M-66",NA,"Dog",NA,"20-Mar-2024",NA,"Caigangan","Buenavista","Marinduque","MIMIROPA",13.26212226,121.9342731,"speedier",NA,NA,0.9884
"RADDL4B-24-063","R-77",NA,"Dog",NA,"13-Apr-2024",NA,"Tulay","Odiongan","Romblon","MIMIROPA",12.3900864414564,121.992303480972,"speedier",NA,NA,0.9881
"RADDL4B-24-066","R-75",NA,"Dog",NA,"20-Oct-2024",NA,"Tugdan","Alcantara","Romblon","MIMIROPA",12.3272698719486,122.070177099507,"speedier",NA,NA,0.9879
