sample_id,redcap_repeat_instrument,redcap_repeat_instance,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,diagnostic_result,test_centre,diag_notes,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genbank_accession,consensus_coverage,ngs_notes
14,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-30,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-40,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-104,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-171,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-203,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-40,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-98,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-126,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-29,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-310,diagnostic,1,,,,,,,4,3,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
