sample_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,diagnostic_complete,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,sequencing_complete
2010818843,,,east_africa,3,3,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011100075,,,east_africa,18,18,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011100176,,,east_africa,15,15,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011100179,,,east_africa,6,6,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011100186,,,east_africa,9,9,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021153276,,,east_africa,45,45,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02196160414A,,,east_africa,17,17,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_Kenya_06_Dec_2021,,,east_africa,21,21,,,,4,None,Kenya,,,,1,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_Kenya_08_Dec_2021,,,east_africa,42,42,,,,4,None,Kenya,,,,1,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_unitid_7th_Aug_2019,,,east_africa,22,22,,,,4,None,Kenya,,,,1,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_unitid_14_09_2022,,,east_africa,46,46,,,,4,None,Kenya,,,,1,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC_UNITID_31_01_2022,,,east_africa,16,16,,,,4,None,Kenya,,,,1,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083175,,,east_africa,2,2,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083186,,,east_africa,20,20,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083192,,,east_africa,21,21,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083195,,,east_africa,7,7,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083197,,,east_africa,15,15,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083198,,,east_africa,6,6,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083200,,,east_africa,8,8,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083201,,,east_africa,2,2,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083202,,,east_africa,37,37,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083203,,,east_africa,20,20,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083204,,,east_africa,4,4,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083205,,,east_africa,9,9,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083214,,,east_africa,10,10,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083215,,,east_africa,35,35,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
