sample_id,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,redcap_data_access_group
Rab12/002,SUB6953,Rab12-002,Nov16_tvla,SUB6953,,Brain,None,Tanzania,Pos1,,23.34,,Negative,,Positive,,,east_africa
Rab12/004,SUB6954,Rab12-004,Nov16_tvla,SUB6954,,Brain,None,Tanzania,,,38.28,,Positive,,Positive,,,east_africa
Rab12/039,SUB6971,Rab12-039,Nov16_tvla,SUB6971,,Brain,None,Tanzania,Pos1,,25.96,,Negative,,Positive,,,east_africa
Rab16/024,SUB7090,Rab16-024,Nov16_tvla,SUB7090,,Brain,None,Tanzania,Pos1,,20.08,,,,Positive,,,east_africa
Rab16/025,SUB7091,Rab16-025,Nov16_tvla,SUB7091,,Brain,None,Tanzania,Pos1,,23.87,,,,Positive,,,east_africa
Rab16/026,SUB7092,Rab16-026,Nov16_tvla,SUB7092,,Brain,None,Tanzania,Pos1,,25.16,,,,Positive,,,east_africa
Rab16/027,SUB7093,Rab16-027,Nov16_tvla,SUB7093,,Brain,None,Tanzania,Pos1,,22.24,,,,Positive,,,east_africa
Rab16/028,SUB7094,Rab16-028,Nov16_tvla,SUB7094,,Brain,None,Tanzania,Pos1,,23.37,,,,Positive,,,east_africa
Rab16/029,SUB7095,Rab16-029,Nov16_tvla,SUB7095,,Brain,None,Tanzania,Pos1,,22.88,,,,Positive,,,east_africa
SD512,RV3227,RV3227,15-Sep,SUB5631,RV3227,Brain,,Tanzania,,,22.72,Negative,,,Positive,APHA,,east_africa
Canine3/10/10(1704),RV2807,RV2807,11-May,SUB1704,RV2807,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
Rab102(D10-1429)1649,RV2776,RV2776,11-May,SUB1649,RV2776,Brain,,Tanzania,Pos1,,,,,,Positive,,,east_africa
Rab12/001,SUB6952,RAB12/001,Nov16_tvla,SUB6952,,Brain,,Tanzania,,,23.64,,Positive,,Positive,APHA,,east_africa
Rab12/005,SUB6955,RAB12/005,,SUB6955,,Brain,,Tanzania,,,31.33,,Positive,,Positive,APHA,,east_africa
Rab16/038,SUB7096,RAB16/038,Nov16_tvla,SUB7096,,Brain,None,Tanzania,,,22.89,,,,Positive,,,east_africa
Rab3/11(D11-145)1656,RV2780,RV2780,11-May,SUB1656,RV2780,Brain,,Tanzania,Pos1,,,,,,Positive,,,east_africa
SD180/ITUSDC0511,RV2867,RV2867,11-Dec,SUB2475,RV2867,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD185/MBKSDC0611,RV2871,RV2871,11-Dec,SUB2480,RV2871,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD199/RGBSDC0711,RV2882,RV2882,11-Dec,SUB2494,RV2882,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD203/MBRSDC0711,RV2886,RV2886,11-Dec,SUB2498,RV2886,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD210/RGBSDC0811,RV2892,RV2892,11-Dec,SUB2505,RV2892,Brain,,Tanzania,Pos1,,,,,,Positive,APHA,,east_africa
SD294,RV3129,SUB3320,12-Aug,SUB3320,RV3129,Brain,,Tanzania,Pos1,,20.71,,,,Positive,APHA,,east_africa
SD295,SUB3321,SUB3321,12-Aug,SUB3321,RV3130,Brain,,Tanzania,Pos1,,16.41,,,,Positive,APHA,,east_africa
SD296,RV3131,SUB3322,12-Aug,SUB3322,RV3131,Brain,,Tanzania,Pos1,,20.62,,,,Positive,APHA,,east_africa
SD379,SUB4666,SUB4666,14-Oct,SUB4666,RV3084,Brain,,Tanzania,Pos2,,31.01,,,,Positive,APHA,,east_africa
SD380,RV3085,SUB4667,14-Oct,SUB4667,RV3085,Brain,,Tanzania,Pos1,,20.73,,,,Positive,APHA,,east_africa
SD381,SUB4668,SUB4668,14-Oct,SUB4668,RV3086,Brain,,Tanzania,Pos1,,18.95,,,,Positive,APHA,,east_africa
SD382,RV3087,SUB4669,14-Oct,SUB4669,RV3087,Brain,,Tanzania,Pos1,,25.39,,,,Positive,APHA,,east_africa
SD557,SUB7097,SD557,16-Nov,SUB7097,,Brain,RNAlater,Tanzania,,,23.84,,,,Positive,APHA,,east_africa
SD563,SUB7104,SD563,16-Nov,SUB7104,,Brain,,Tanzania,,,24.53,,,,Positive,APHA,,east_africa
SD575,SUB7112,SD575,16-Nov,SUB7112,,Brain,,Tanzania,,,24.75,,,,Positive,APHA,,east_africa
Rab12/016,SUB6957,RAB12/016,Nov16_tvla,SUB6957,,Brain,None,Tanzania,,,20.41,,Positive,,Positive,,,east_africa
Rab12/066,SUB6987,RAB12/066,Nov16_tvla,SUB6987,,Brain,None,Tanzania,,,18.72,,Positive,,Positive,,,east_africa
Rab91(D10-867)1643,RV2772,RV2772,11-May,SUB1643,RV2772,Brain,,Tanzania,Pos1,,,,,,Positive,,,east_africa
SD557.sg,SUB7098,SUB7098,16-Nov,SUB7098,,Salivary_gland,,Tanzania,,SYBR,27.58,,,,Positive,APHA,,east_africa
SD558,SUB7100,SUB7100,16-Nov,SUB7100,,Brain,,Tanzania,,SYBR,35.75,,,,Inconclusive,APHA,,east_africa
SD560,SUB7101,SUB7101,16-Nov,SUB7101,,Brain,,Tanzania,,SYBR,30.8,,,,Positive,APHA,,east_africa
SD562,SUB7103,SUB7103,16-Nov,SUB7103,,Brain,,Tanzania,,SYBR,no ct,,,,Negative,APHA,,east_africa
SD564,SUB7105,SUB7105,16-Nov,SUB7105,,Brain,,Tanzania,,,18.42,,,,Positive,APHA,,east_africa
SD565,SUB7106,SUB7106,16-Nov,SUB7105,,Brain,,Tanzania,,SYBR,no ct,,,,Negative,APHA,,east_africa
SD571,SUB7108,SUB7108,16-Nov,SUB7108,,Brain,,Tanzania,,SYBR,31.84,,,,Positive,APHA,,east_africa
SD572,SUB7109,SUB7109,16-Nov,SUB7109,,Brain,,Tanzania,,SYBR,33.46,,,,Inconclusive,APHA,,east_africa
SD572.sg,SUB7110,SUB7110,16-Nov,SUB7110,,Salivary_gland,,Tanzania,,SYBR,30.11,,,,Positive,APHA,,east_africa
