sample_id,sample_labid,sample_sequenceid,collection_date,host,barangay,municipality,province,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,drit_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
Z-16-211,Z-16-211,Z-16-211,19/12/2016,Domestic dog,Las Villas de Manila,Binan,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB15,pass,3533,3503,,,,,,99.5,,97.6,61.2,
Z-16-210,Z-16-210,Z-16-210,16/12/2016,Domestic dog,"Soldiers Hills 2, Almanza 2",Las Pinas City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB11,pass,8321,8306,,,,,,99.5,,97.7,92.7,
Z-16-209,Z-16-209,Z-16-209,14/12/2016,Domestic dog,Pahinga Sur,Candelaria,Quezon,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB07,pass,3522,3446,,,,,,99.5,,82.2,43.2,
Z-16-186,Z-16-186,Z-16-186,03/11/2016,Domestic dog,"Woodrow Subd.,Bgy. Pasig",Antipolo City,Rizal,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB17,pass,2844,2813,,,,,,99.5,,96.1,48.3,
Z-16-159,Z-16-159,Z-16-159,12/09/2016,Domestic dog,Capipisa,Tanza,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB16,pass,3379,3326,,,,,,99.5,,96.2,59.8,
Z-16-082,Z-16-082,Z-16-082,24/05/2016,Domestic dog,Caingin,Santa Rosa City,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB19,pass,2209,2156,,,,,,99.3,,96.2,40.9,
Z-16-052,Z-16-052,Z-16-052,03/04/2016,Domestic dog,Pasong Buaya II,Imus City,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB21,pass,302,302,,,,,,95.5,,26.3,0,
Z-16-013,Z-16-013,Z-16-013,16/01/2016,Domestic dog,"PEA 2A, Langgam",San Pedro,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB10,pass,5421,5367,,,,,,99,,95.8,74.1,
Z-15-185,Z-15-185,Z15-185,18/10/2015,Domestic dog,San Dionisio,Paranaque City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,workshop2,2019,RITM,Nanopore,,,,NB04,pass,35010,34799,,,,,,99.5,,98.4,96.2,
Z-15-148,Z-15-148,Z-15-148,04/08/2015,Domestic dog,Upper Bicutan,Taguig,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB21,pass,2321,2298,,,,,,99.5,,95.7,33.2,
Z-15-130,Z-15-130,Z-15-130,06/07/2015,Domestic dog,Pinagtipunan,Gen. Trias,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB09,pass,5160,5153,,,,,,99.5,,95.8,72.5,
Z-15-119,Z-15-119,Z-15-119,19/06/2015,Domestic dog,Villamor Air Base,Pasay City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB23,pass,469,468,,,,,,97.7,,50.1,0,
Z-15-116,Z-15-116,Z-15-116,17/06/2015,Domestic dog,"Purok 6, Landayan",San Pedro,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB04,pass,25265,25237,,,,,,99.5,,99.4,97.7,
Z-15-019,Z-15-019,Z-15-019,28/01/2015,Domestic dog,Multinational Vill.,Paranaque City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB05,pass,13535,13523,,,,,,99.5,,99.2,94.2,
Z-15-012,Z-15-012,Z-15-012,22/01/2015,Domestic dog,Camella Homes,Bacoor City,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB20,pass,353,351,,,,,,97.7,,34.6,0,
Z-15-001,Z-15-001,Z-15-001,01/01/2015,Domestic dog,Bagumbayan,Pililla,Rizal,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB07,pass,10202,10189,,,,,,99.5,,97.7,95.8,
Z-14-182,Z-14-182,Z-14-182,20/08/2014,Domestic dog,San Francisco,Pulilan,Bulacan,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB19,pass,334,333,,,,,,95.8,,26.7,0,
Z-14-152,Z-14-152,Z14-152,02/07/2014,Domestic dog,Tipas,Taguig City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,workshop2,2019,RITM,Nanopore,,,,NB01,pass,375319,374887,,,,,,99.5,,99.5,97.1,
Z-14-149,Z-14-149,Z-14-149,28/06/2014,Domestic dog,San Rafael,San Pablo City,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB20,pass,3926,3870,,,,,,99.5,,91.2,51.7,
Z-14-146,Z-14-146,Z-14-146,26/06/2014,Domestic dog,Sampaga Centro,Batangas City,Batangas,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB03,pass,5579,5566,,,,,,99.5,,97.5,77,
Z-14-142,Z-14-142,Z14-142,21/06/2014,Domestic dog,Mercedes Homes 3,Binan City,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,workshop2,2019,RITM,Nanopore,,,,NB02,pass,58828,58658,,,,,,99.5,,97.7,97.5,
Z-14-138,Z-14-138,Z-14-138,16/06/2014,Domestic dog,"Seacom Compd., Sucat",Paranaque City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB02,pass,13434,13423,,,,,,99.5,,99,94.2,
Z-14-136,Z-14-136,Z-14-136,11/06/2014,Domestic dog,"Parklane,San Francisco",Gen. Trias,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB01,pass,6370,6368,,,,,,99.5,,94,73.5,
Z-14-033,Z-14-033,Z-14-033,07/02/2014,Domestic dog,"Bagumbayan, Zone 4",Atimonan,Quezon,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB18,pass,2143,2125,,,,,,99.5,,91.5,29,
Z-13-096,Z-13-096,Z-13-096,12/05/2013,Cat,,,,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB08,pass,19170,19048,,,,,,99.5,,97.7,97.6,
Z-13-094,Z-13-094,Z-13-094,10/05/2013,Domestic dog,Palico II,Imus,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB15,pass,7209,7205,,,,,,99.5,,95.6,90.5,
Z-13-071,Z-13-071,Z-13-071,10/04/2013,Domestic dog,Golden Acres,Las Pinas City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB12,pass,4817,4806,,,,,,99.5,,95.9,88.7,
Z-13-066,Z-13-066,Z-13-066,05/04/2013,Domestic dog,Bayan Luma,Imus,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB17,pass,682,679,,,,,,99,,69,0,
Z-13-032,Z-13-032,Z-13-032,14/02/2013,Domestic dog,Lower Bicutan,Taguig City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB16,pass,11393,11378,,,,,,99.5,,97.7,95.8,
Z-13-011,Z-13-011,Z-13-011,21/01/2013,Domestic dog,Mahabang Parang,Angono,Rizal,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB18,pass,327,326,,,,,,97.6,,31.6,0,
Z-13-009,Z-13-009,Z-13-009,19/01/2013,Domestic dog,Paradahan I,Tanza,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB13,pass,14905,14871,,,,,,98.9,,97.7,95.7,
Z-13-002,Z-13-002,Z-13-002,02/01/2013,Domestic dog,BF International,Las Pinas City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB14,pass,12309,12303,,,,,,99.5,,99.4,93.6,
Z-12-212,Z-12-212,Z-12-212,04/10/2012,Domestic dog,,Bauan,Batangas,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB10,pass,1548,1528,,,,,,99.5,,99.3,43.7,
Z-12-180,Z-12-180,Z-12-180,18/08/2012,Domestic dog,San Antonio,Cavite City,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB22,pass,247,247,,,,,,94.3,,15.1,0,
Z-12-149,Z-12-149,Z-12-149,28/06/2012,Domestic dog,Palayan,Pinamalayan,Oriental  Mindoro,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB12,pass,2625,2587,,,,,,99.4,,95.8,51.9,
Z-12-134,Z-12-134,Z-12-134,18/06/2012,Domestic dog,Pag-asa,Imus,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl1,2019,RITM,Nanopore,,,,NB06,pass,27333,27322,,,,,,99.5,,94.4,94.3,
Z-12-118,Z-12-118,Z-12-118,31/05/2012,Domestic dog,Bacao 2,Gen. Trias,Cavite,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB09,pass,2646,2624,,,,,,99.5,,92.6,36.7,
Z-12-088,Z-12-088,Z-12-088,29/03/2012,Domestic dog,TS Cruz Subd.,Las Pinas City,Metro Manila,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB11,pass,2223,2197,,,,,,99.4,,97.2,57.6,
Z-12-012,Z-12-012,Z12-012,16/01/2012,Domestic dog,Sulpoc,Tanauan City,Batangas,1,,Brain,None,Philippines,,positive,,positive,RITM,workshop2,2019,RITM,Nanopore,,,,NB03,pass,5687,5593,,,,,,99.4,,96.2,86.7,
Z-12-001,Z-12-001,Z-12-001,01/01/2012,Domestic dog,Sinalhan,Sta. Rosa City,Laguna,1,,Brain,None,Philippines,,positive,,positive,RITM,phl2,2019,RITM,Nanopore,,,,NB05,pass,1746,1725,,,,,,99.4,,96,42.9,
REGION_5_2019-13,REGION_5_2019-13,REGION_5_2019-13,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,workshop2,2019,RITM,Nanopore,,,,NB05,pass,18539,18457,,,,,,99.4,,97.7,97.2,
REGION_5_2019-1,REGION_5_2019-1,REGION_5_2019-1,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,workshop2,2019,RITM,Nanopore,,,,NB06,pass,53435,53278,,,,,,99.5,,97.7,97.7,
REGION_5_2018-50,REGION_5_2018-50,REGION_5_2018-50,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,workshop2,2019,RITM,Nanopore,,,,NB08,pass,32442,31865,,,,,,99.5,,97.7,97.2,
REGION_5_2018-311,REGION_5_2018-311,REGION_5_2018-311,,Domestic dog,,,,1,,Brain,None,Philippines,,,positive,positive,,phl2,2019,RITM,Nanopore,,,,NB14,pass,2737,2691,,,,,,99,,97.7,66,
REGION_5_2018-304,REGION_5_2018-304,REGION_5_2018-304,,Domestic dog,,,,1,,Brain,None,Philippines,,,positive,positive,,phl2,2019,RITM,Nanopore,,,,NB13,pass,4055,4003,,,,,,99.4,,97.7,75.6,
REGION_5_2018-100,REGION_5_2018-100,REGION_5_2018-100,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,workshop2,2019,RITM,Nanopore,,,,NB07,pass,24217,24127,,,,,,99.4,,97.7,95.8,
RADDL5-005,RADDL5-005,RADDL5-005,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,phl2,2019,RITM,Nanopore,,,,NB08,pass,2511,2488,,,,,,99.4,,97.7,47.9,
RADDL3-845,RADDL3-845,RADDL3-845,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,phl2,2019,RITM,Nanopore,,,,NB06,pass,2157,2109,,,,,,99.5,,96,68.6,
RADDL3-15-172,RADDL3-15-172,RADDL3-15-172,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,phl2,2019,RITM,Nanopore,,,,NB01,pass,2490,2476,,,,,,99.5,,96,52.3,
RADDL3-1045,RADDL3-1045,RADDL3-1045,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,phl2,2019,RITM,Nanopore,,,,NB02,pass,3804,3752,,,,,,99.4,,95.4,57.4,
RADDL3-1038,RADDL3-1038,RADDL3-1038,,Domestic dog,,,,1,,Brain,None,Philippines,,positive,,positive,,phl2,2019,RITM,Nanopore,,,,NB03,pass,2203,2197,,,,,,97.7,,90.1,26.3,
