sample_id,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,redcap_data_access_group
Z-16-210,,Z-16-210,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-052,,Z-16-052,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-013,,Z-16-013,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-130,,Z-15-130,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-119,,Z-15-119,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-116,,Z-15-116,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-019,,Z-15-019,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-012,,Z-15-012,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-001,,Z-15-001,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-182,,Z-14-182,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-146,,Z-14-146,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-138,,Z-14-138,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-136,,Z-14-136,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-096,,Z-13-096,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-094,,Z-13-094,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-071,,Z-13-071,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-066,,Z-13-066,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-032,,Z-13-032,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-011,,Z-13-011,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-009,,Z-13-009,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-13-002,,Z-13-002,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-180,,Z-12-180,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-134,,Z-12-134,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-211,,Z-16-211,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-209,,Z-16-209,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-186,,Z-16-186,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-159,,Z-16-159,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-16-082,,Z-16-082,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-15-148,,Z-15-148,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-149,,Z-14-149,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-033,,Z-14-033,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-212,,Z-12-212,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-149,,Z-12-149,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-118,,Z-12-118,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-088,,Z-12-088,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-001,,Z-12-001,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
REGION_5_2018-311,,REGION_5_2018-311,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,,Positive,Positive,,,philippines
REGION_5_2018-304,,REGION_5_2018-304,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,,Positive,Positive,,,philippines
RADDL5-005,,RADDL5-005,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
RADDL3-845,,RADDL3-845,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
RADDL3-15-172,,RADDL3-15-172,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
RADDL3-1045,,RADDL3-1045,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
RADDL3-1038,,RADDL3-1038,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
RADDL1-16-154,,RADDL1-16-154,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
Z-15-185,Z-15-185,Z15-185,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-152,Z-14-152,Z14-152,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-14-142,Z-14-142,Z14-142,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
Z-12-012,Z-12-012,Z12-012,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,RITM,,philippines
REGION_5_2019-13,,REGION_5_2019-13,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
REGION_5_2019-1,,REGION_5_2019-1,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
REGION_5_2018-50,,REGION_5_2018-50,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
REGION_5_2018-100,,REGION_5_2018-100,,,,Brain,No_buffer_fresh_stored_at_-80,Philippines,,,,,Positive,,Positive,,,philippines
