Isolate ID ,year,brgy,municipality,province,region,latitude,longitude,species,Maddog_reference,lineage1,lineage2,lineage3,lineage4,date
153,2018,Paulog,Ligao City,Albay,Bicol Region,13.18230598,123.4944229,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,17-May-18
4A-22-104,2022,Sabang,Lipa City,Batangas,Calabarzon,13.94086577,121.1746864,Canis familiaris,N,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,Asian SEA4_A1.2,25-Jan-22
4A-22-171,2022,Buenavista,General Trias,Cavite,Calabarzon,14.32966619,120.8999068,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_C1,Asian SEA4_C1,Asian SEA4_C1.1,6-Feb-22
4A-22-203,2022,Guiang-Guiang,Lucena ,Quezon,Calabarzon,13.93834754,121.6153593,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,11-Feb-22
4A-22-40,2022,-,Batangas  City,Batangas,Calabarzon,13.7207195,121.103796,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_B1.1,Asian SEA4_B1.1,Asian SEA4_B1.1.1,10-Jan-22
4A-22-98,2022,Baguio,Tayabas City,Quezon,Calabarzon,14.04055469,121.6122459,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_B1.1,Asian SEA4_B1.1,Asian SEA4_B1.1.1,22-Jan-22
4B-21-126,2021,Sapul,Calapan City,Oriental Mindoro,Southwestern Tagalog Region ,13.33178512,121.1780294,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,26-Jan-21
4B-21-29,2021,San Narciso ,Victoria ,Oriental Mindoro,Southwestern Tagalog Region ,13.14368391,121.2438544,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,9-Feb-21
4B-21-310,2021,Tabinay ,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,10-Mar-21
4B-21-35,2021,Tabinay ,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,5-Mar-21
4B-21-412,2021,Sto Nino,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,12-Apr-21
4B-21-421,2021,Malapad,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,14-Apr-21
4B-21-423,2021,Camilmil,Calapan City,Oriental Mindoro,Southwestern Tagalog Region ,13.33178512,121.1780294,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,23-Apr-21
4B-21-528,2021,Aninuan,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,28-May-21
4B-21622,2022,Mangangan,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,16-Feb-22
4B-22-114,2022,Mayabig,Baco,Oriental Mindoro,Southwestern Tagalog Region ,13.29039427,121.066837,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,14-Jan-22
4B-22-13,2022,Teresita,Mansalay,Oriental Mindoro,Southwestern Tagalog Region ,12.54836969,121.3482134,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,22-Apr-22
4B-22-15,2022,San Isidro,Puerto Galera,Oriental Mindoro,Southwestern Tagalog Region ,13.39217641,120.8953101,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,5-Jan-22
4B-22-16,2022,Orcenuma,Bongabong,Oriental Mindoro,Southwestern Tagalog Region ,12.71623574,121.3862303,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,28-Apr-22
4B-22-17,2022,Narra,Gloria,Oriental Mindoro,Southwestern Tagalog Region ,12.92166054,121.3754507,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,8-May-22
4B-22-20,2022,Don Pedro,Mansalay,Oriental Mindoro,Southwestern Tagalog Region ,12.54836969,121.3482134,Canis familiaris,N,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_A1.1.2,Asian SEA4_C1,19-May-22
