sample_id,redcap_repeat_instrument,redcap_repeat_instance,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,diagnostic_complete,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,negative_control_sample,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,sequencing_complete
4A-22-40,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-40,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode04,,Single_run,,37660,37660,2143.286708,719.6691412,2099,0,3920,11895,11886,11885,11676,No,,11785,4A-22-40__run5_21__instance1.fasta,,2
4A-22-98,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-98,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode05,,Single_run,,46433,46433,2301.151022,848.9059604,2193,0,4276,11887,11886,11885,11676,No,,11792,4A-22-98__run5_21__instance1.fasta,,2
4A-22-104,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-104,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode06,,Single_run,,62538,62538,2734.587663,1135.203836,2625,0,6111,11897,11677,11676,11676,No,,11591,4A-22-104__run5_21__instance1.fasta,,2
4A-22-171,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-171,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode24,,Single_run,,40941,40941,1328.048776,819.7012991,1165,0,3971,11683,11677,11676,11669,No,,11597,4A-22-171__run10_23__instance1.fasta,,2
4A-22-203,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-203,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode25,,Single_run,,37558,37558,1190.401022,855.1184059,1151,0,4038,11681,11392,11354,10995,No,PP858767,11261,4A-22-203__run10_23__instance1.fasta,,2
4B-21-29,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-29,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode06,,Single_run,,29965,29965,1014.977204,521.3244337,952,0,2368,11897,11886,11885,11859,No,,11791,4B-21-29__run4_21__instance1.fasta,,2
4B-21-35,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-35,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode07,,Single_run,,31723,31723,1093.751006,623.6411208,975,0,2662,11896,11886,11723,11216,No,,11593,4B-21-35__run4_21__instance1.fasta,,2
4B-21-126,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-126,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode02,,Single_run,,91407,91407,3955.795759,1545.948115,3821,0,8142,11895,11887,11886,11885,No,,11788,4B-21-126__run3_21__instance1.fasta,,2
4B-21-310,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-310,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode08,,Single_run,,87245,87245,2971.537127,1688.145724,2794,0,7448,11887,11886,11726,11722,No,,11591,4B-21-310__run4_21__instance1.fasta,,2
4B-21-412,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-412,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode09,,Single_run,,31268,31268,1182.667784,590.253369,1103,0,2734,11887,11886,11886,11722,No,,11799,4B-21-412__run4_21__instance1.fasta,,2
4B-21-421,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-421,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode10,,Single_run,,32418,32418,1252.439826,590.5725342,1211,0,2908,11886,11886,11884,11675,No,,11791,4B-21-421__run4_21__instance1.fasta,,2
4B-21-423,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-423,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode11,,Single_run,,52324,52324,1764.669963,1023.346189,1611,0,4758,11888,11885,11677,11659,No,,11588,4B-21-423__run4_21__instance1.fasta,,2
4B-21-528,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-528,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode12,,Single_run,,33369,33369,1298.337077,643.8413943,1212,0,2932,11895,11886,11885,11513,No,,11801,4B-21-528__run4_21__instance1.fasta,,2
4B-22-13,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-13,sequencing,1,,,,,,,,,,,,,,,,,,,run4_22,1,15/11/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU43236,,Amplicon,barcode73,,Single_run,,42850,42850,1620.969997,781.9086231,1554,0,3809,11895,11885,11677,11674,No,,11578,4B-22-13__run4_22__instance1.fasta,,2
4B-22-15,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-15,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode14,,Single_run,,88177,88177,3570.690831,1708.531267,3467,0,8098,11895,11886,11886,11884,No,,11799,4B-22-15__run3_21__instance1.fasta,,2
4B-22-16,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
