"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Province","Region","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"RADDL4B-23-060","M-2",NA,"Dog",NA,2023-10-06,NA,"Balogo","Boac","Marinduque","MIMIROPA",13.46850874,121.8289235,"speedier",NA,NA,0.9716,"1","rabv_4b_2024_run10","1","26-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU49052",NA,"Amplicon","barcode51",NA,"Single run",NA,"8658","8362","309.9566711","308.3000911","176.5","0","1770","11893","11887","11877","9229","No","NA",97.1589004358029,"RADDL4B-23-060__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-061","M-3",NA,"Dog",NA,2023-10-09,NA,"Agumaymayan","Boac","Marinduque","MIMIROPA",13.44998665,121.8994821,"speedier",NA,NA,0.9885,"1","rabv_4b_2024_run10","1","26-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU49052",NA,"Amplicon","barcode52",NA,"Single run",NA,"16895","14721","822.572997","497.680495","742","0","2559","11896","11891","11886","11881","No","NA",98.8518270197788,"RADDL4B-23-061__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-070","M-10",NA,"Dog",NA,2023-10-23,NA,"Pili","Boac","Marinduque","MIMIROPA",13.46393265,121.8260512,"speedier",NA,NA,0.9885,"1","rabv_4b_2024_run10","1","26-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU49052",NA,"Amplicon","barcode53",NA,"Single run",NA,"6822","6309","304.8300369","255.4955173","220","0","1707","11894","11887","11882","10791","No","NA",98.8518270197788,"RADDL4B-23-070__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-072","M-9",NA,"Dog",NA,2023-10-23,NA,"Bocboc","Mogpog","Marinduque","MIMIROPA",13.47143036,121.9410823,"speedier",NA,NA,0.9713,"1","rabv_4b_2024_run10","1","26-Nov-2024","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU49052",NA,"Amplicon","barcode55",NA,"Single run",NA,"7988","7439","299.4125042","322.4431806","186","0","1727","11894","11888","11737","7940","No","NA",97.1253771371103,"RADDL4B-23-072__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-23-057","M-1",NA,"Pig",NA,2023-09-24,NA,"Apitong","Boac","Marinduque","MIMIROPA",13.45365494,121.8709323,"speedier",NA,NA,0.9887,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode73",NA,"Single run",NA,"10323","9685","581.4674824","511.0859431","469","0","3503","11894","11893","11885","11871","No","NA",98.868588669125,"RADDL4B-23-057__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-019","M-47",NA,"Pig",NA,2024-02-08,NA,"Daykitin","Buenavista","Marinduque","MIMIROPA",13.27382681,121.9228134,"speedier",NA,NA,0.9885,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode74",NA,"Single run",NA,"10050","9337","408.2855347","362.2858732","289","0","1999","11894","11893","11886","11064","No","NA",98.8518270197788,"RADDL4B-24-019__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-021","M-44",NA,"Dog",NA,2024-02-01,NA,"Tabi","Boac","Marinduque","MIMIROPA",13.45428134,121.8406166,"speedier",NA,NA,0.9721,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode75",NA,"Single run",NA,"8621","8157","373.890295","406.0045941","265","0","2570","11894","11892","11672","9851","No","NA",97.2091853838418,"RADDL4B-24-021__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-026","M-53",NA,"Dog",NA,2024-02-16,NA,"Bangbangalon","Boac","Marinduque","MIMIROPA",13.43848981,121.8276107,"speedier",NA,NA,0.972,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode76",NA,"Single run",NA,"12443","11751","449.7872109","510.3824318","218","0","2811","11690","11679","11671","10063","No","NA",97.2008045591686,"RADDL4B-24-026__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-027","M-52",NA,"Dog",NA,2024-02-14,NA,"Daykitin","Buenavista","Marinduque","MIMIROPA",13.27382681,121.9228134,"speedier",NA,NA,0.9716,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode77",NA,"Single run",NA,"4466","4053","232.9019444","166.7063895","180","0","1108","11895","11892","11673","10252","No","NA",97.1589004358029,"RADDL4B-24-027__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"RADDL4B-24-029","M-50",NA,"Dog",NA,2024-02-20,NA,"Caigangan","Buenavista","Marinduque","MIMIROPA",13.26212226,121.9342731,"speedier",NA,NA,0.9716,"1","rabv_4b_2025_run1","1","9-Jan-2025","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU48941",NA,"Amplicon","barcode78",NA,"Single run",NA,"29955","28374","1713.09353","1100.166095","1487","0","5777","11894","11824","11684","11676","No","NA",97.1589004358029,"RADDL4B-24-029__rabv_4b_2025_r10_run4__instance1.fasta",NA,NA,NA,NA,NA,NA,"Other","Unknown","PHL: Philippines","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
