sample_id,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,redcap_repeat_instrument,redcap_repeat_instance
H-21-002,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode65,sequencing,1
H-21-005,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode68,sequencing,1
H-25-18-2,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode67,sequencing,1
H17-001,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode36,sequencing,1
H24-007,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode09,sequencing,1
H24-010,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode10,sequencing,1
H24-028,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode11,sequencing,1
H24-068,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode13,sequencing,1
RADDL4B-23-037,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode25,sequencing,1
RADDL4B-23-042,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode01,sequencing,1
RADDL4B-23-044,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode02,sequencing,1
RADDL4B-23-045,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode03,sequencing,1
RADDL4B-23-046,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode04,sequencing,1
RADDL4B-23-047,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode05,sequencing,1
RADDL4B-23-049,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode06,sequencing,1
RADDL4B-23-052,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode07,sequencing,1
RADDL4B-23-053,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode08,sequencing,1
RADDL4B-23-056,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode09,sequencing,1
