"sample_id","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","redcap_data_access_group"
"H-21-002","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H-21-005","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H-25-18-2","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H17-001","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H24-007","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H24-010","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H24-028","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"H24-068","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-037","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-042","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-044","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-045","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-046","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-047","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-049","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-052","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-053","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-056","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-057","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-058","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-060","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-061","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
"RADDL4B-23-064","","","","","","Other","Unknown","Philippines","NA","Unknown","","NA","NA","NA","","Other","","philippines"
