Sample_ID,Case_no,Accession,Host,Sample_type,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
18-092,,OQ326757,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-094,,OQ326761,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-096,,OQ326764,Canis lupus familiaris,brain,,Buhangin,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-099,,OQ326750,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-101,,OQ326755,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-102,,OQ326752,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-103,,OQ326754,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-106,,OQ326751,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-107,,OQ326749,Canis lupus familiaris,brain,,ComVal,,Davao de Oro (Compostela Valley),Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-114,,OQ326756,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-116,,OQ326753,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
