"ID","n_N","n_gap","length","year","lineage","previous"
"OQ326754",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326753",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326752",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326751",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326750",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326749",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326748",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326747",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326746",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326745",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326744",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326743",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326742",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326741",0,585,11800,"2019","Asian SEA4_A1",NA
"OQ326740",0,585,11800,"2019","Asian SEA4_A1",NA
"OQ326739",0,585,11800,"2019","Asian SEA4_A1",NA
"OQ326738",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326737",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326736",0,585,11800,"2018","Asian SEA4_A1",NA
"OR971444",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971443",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971442",0,458,11927,"2022","Asian SEA4_C1.1.1",NA
"OR971441",0,458,11927,"2022","Asian SEA4_C1",NA
"OR971440",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971439",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971438",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971437",0,458,11927,"2021","Asian SEA4_C1",NA
"OR971436",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971435",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971434",0,458,11927,"2021","Asian SEA4_C1.1.1",NA
"OR971433",0,458,11927,"2021","Asian SEA4_C1.1.1",NA
"OR971432",0,458,11927,"2021","Asian SEA4_C1.1",NA
"OR971431",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971430",0,458,11927,"2021","Asian SEA4_C1.1.1",NA
"OR971429",0,458,11927,"2021","Asian SEA4_B1.1.1",NA
"OR971428",0,457,11928,"2021","Asian SEA4_A1.2",NA
"OR971427",0,458,11927,"2021","Asian SEA4_C1.1.1",NA
"OR971426",0,458,11927,"2021","Asian SEA4_B1.1.1",NA
"OR971425",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971424",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971423",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971422",0,458,11927,"2021","Asian SEA4_C1",NA
"OR971421",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971420",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971419",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971418",0,463,11922,"2021","Asian SEA4_A1.2",NA
"OR971417",0,463,11922,"2021","Asian SEA4_C1.1.1",NA
"OR971416",0,463,11922,"2021","Asian SEA4_A1.2",NA
"OR971415",0,463,11922,"2021","Asian SEA4_B1.1.1",NA
"OR971414",0,463,11922,"2021","Asian SEA4_C1.1.1",NA
"OR971413",0,463,11922,"2021","Asian SEA4_A1.2",NA
"OR971412",0,463,11922,"2021","Asian SEA4_C1.1.1",NA
"OR971411",0,458,11927,"2019","Asian SEA4_A1.2",NA
"OR971409",0,458,11927,"2019","Asian SEA4_A1.2",NA
"OR971408",0,458,11927,"2019","Asian SEA4_A1.2",NA
"OR971407",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971406",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971405",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971404",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971403",0,458,11927,"2021","Asian SEA4_C1.1.1",NA
"OR971402",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971401",0,458,11927,"2021","Asian SEA4_C1.1.1",NA
"OR971400",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971399",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971398",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971397",0,461,11924,"2019","Asian SEA4_B1.1",NA
"OR971396",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971395",0,461,11924,"2019","Asian SEA4_B1.1",NA
"OQ326784",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326783",0,585,11800,"2018","Asian SEA4_A1",NA
