sample_id,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group
Rab12/002,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab12/004,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab12/039,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab16/024,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab16/025,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab16/026,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab16/027,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab16/028,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
Rab16/029,sangerN405,1,22/12/2016,APHA,,,Sanger,,Unknown,NA,Unknown,SangerPCR,NA,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA, | TVLA;APHA,sequencing,1,east_africa
SD512,rv3227mPCR,1,02/12/2016,APHA,,,Illumina,,Unknown,NA,Miseq,Amplicon,,Pass,Single_run,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,NA, | APHA,sequencing,1,east_africa
Canine3/10/10(1704),454_suspicious,1,26/07/2013,APHA,,,454,,Unknown,NA,Unknown,Metagenomic,,Pass,Single_run,,437,437,10.46875786,5.603961802,10,0,29,11878,10472,807,0,KR906757,87.83024407,NA, | APHA,sequencing,1,east_africa
