"ID","length","close","lineage","cutoff","year","country"
"EU827275",0.0067970274,"EU853591","Africa-2_A1",0.09641411576,"2007","Burkina Faso"
"U22640",0.0076282588,"U22641","Africa-2_A1",0.09641411576,"1990","-"
"U22636",0.0058452895,"FJ392375","Africa-2_A1.3",0.0505909165,"1988","-"
"EU853591",0.0078481872,"EU827275","Africa-2_A1",0.09641411576,"2008","Gambia"
"U22641",0.0114096272,"U22644","Africa-2_A1",0.09641411576,"1990","-"
"U22487",0.0241258656,"U22486","Africa-2_A1",0.09641411576,"1995","-"
"MK471247",0.0110656294,"MK471248","Africa-2_A1",0.09641411576,"2018","Guinea"
"U22628",0.015498681,"AB573762","Africa_A1",0.2871248732,"1987","-"
"KF620487",0.0055181549,"MN857171","Asian_A1",0.0317616871,"2012","Taiwan"
"KF620488",0.0186909061,"KF620489","Asian_A1",0.0317616871,"2012","Taiwan"
"U22644",0.0306012284,"U22641","Africa-2_A1",0.09641411576,"1992","-"
"EU853624",0.007697435,"EU853645","Africa-2_A1.1.1",0.0219738223,"1991","Mauritania"
"U22652",0.0093656416,"FJ392373","Africa-2_A1.2",0.0352852236,"1992","-"
"U22639",0.0059209983,"U22487","Africa-2_A1.2",0.0352852236,"1989","-"
"U22646",0.0129618685,"U22644","Africa-2_A1.2",0.0352852236,"1990","-"
"U22486",0.0231587567,"U22487","Africa-2_A1.2",0.0352852236,"1986","-"
"EU514581",0.0059969281,"EU718735","Africa-2_A1.2.1",0.0198594813,"2007","Mauritania"
"MK471248",0.0111167237,"MK471247","Africa-2_A1.2.1",0.0198594813,"2018","Guinea"
