id	Case_no	Accession	Host	Sample_type	Preferred_date	Date_source	Barangay	Municipality	Municipality_std	Province	Province_std	Region	Region_std	Latitude	Longitude	Source	Author	Pubmed	Genome_coverage	Host_scientific	Host_common	Host_type	Major_Island	seq_name	phylogenetic_clade	decimal_date
Z-24-141__24-Sep-2024	P-34	NA	Dog	NA	45559	date_collected	Poblacion	Narra	Palawan-Narra	Palawan	Palawan	MIMIROPA	Mimaropa Region	9.2508841	118.346366	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	Z-24-141	AL_Asian_SEA4	2024.72951
Z-24-142__24-Sep-2024	P-35	NA	Dog	NA	45559	date_collected	Culandanum	Bataraza	Palawan-Bataraza	Palawan	Palawan	MIMIROPA	Mimaropa Region	8.6727041	117.450586	speedier	NA	NA	0.9716	Canis lupus familiaris	Dog	Domestic	Luzon	Z-24-142	AL_Asian_SEA4	2024.72951
RADDL4B-23-060__06-Oct-2023	M-2	NA	Dog	NA	45205	date_collected	Balogo	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4685087	121.828924	speedier	NA	NA	0.9716	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-060	AL_Asian_SEA4	2023.76164
RADDL4B-23-061__09-Oct-2023	M-3	NA	Dog	NA	45208	date_collected	Agumaymayan	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4499867	121.899482	speedier	NA	NA	0.9885	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-061	AL_Asian_SEA4	2023.76986
RADDL4B-23-070__23-Oct-2023	M-10	NA	Dog	NA	45222	date_collected	Pili	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4639327	121.826051	speedier	NA	NA	0.9885	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-070	AL_Asian_SEA4	2023.80822
RADDL4B-23-072__23-Oct-2023	M-9	NA	Dog	NA	45222	date_collected	Bocboc	Mogpog	Marinduque-Mogpog	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4714304	121.941082	speedier	NA	NA	0.9713	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-072	AL_Asian_SEA4	2023.80822
RADDL4B-23-057__24-Sep-2023	M-1	NA	Pig	NA	45193	date_collected	Apitong	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4536549	121.870932	speedier	NA	NA	0.9887	Sus scrofa domesticus	Pig	Livestock	Luzon	RADDL4B-23-057	AL_Asian_SEA4	2023.72877
RADDL4B-24-019__08-Feb-2024	M-47	NA	Pig	NA	45330	date_collected	Daykitin	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2738268	121.922813	speedier	NA	NA	0.9885	Sus scrofa domesticus	Pig	Livestock	Luzon	RADDL4B-24-019	AL_Asian_SEA4	2024.10383
RADDL4B-24-021__01-Feb-2024	M-44	NA	Dog	NA	45323	date_collected	Tabi	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4542813	121.840617	speedier	NA	NA	0.9721	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-021	AL_Asian_SEA4	2024.0847
RADDL4B-24-026__16-Feb-2024	M-53	NA	Dog	NA	45338	date_collected	Bangbangalon	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4384898	121.827611	speedier	NA	NA	0.972	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-026	AL_Asian_SEA4	2024.12568
RADDL4B-24-027__14-Feb-2024	M-52	NA	Dog	NA	45336	date_collected	Daykitin	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2738268	121.922813	speedier	NA	NA	0.9716	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-027	AL_Asian_SEA4	2024.12022
RADDL4B-24-029__20-Feb-2024	M-50	NA	Dog	NA	45342	date_collected	Caigangan	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2621223	121.934273	speedier	NA	NA	0.9716	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-029	AL_Asian_SEA4	2024.13661
RADDL4B-24-034__29-Feb-2024	M-55	NA	Dog	NA	45351	date_collected	Bamban	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4236634	121.877911	speedier	NA	NA	0.9713	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-034	AL_Asian_SEA4	2024.1612
RADDL4B-24-035__26-Feb-2024	M-56	NA	Dog	NA	45348	date_collected	Masiga	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.358719	121.825508	speedier	NA	NA	0.9889	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-035	AL_Asian_SEA4	2024.15301
RADDL4B-24-037__28-Feb-2024	M-58	NA	Dog	NA	45350	date_collected	Buangan	Torrijos	Marinduque-Torrijos	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3130509	122.053706	speedier	NA	NA	0.9718	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-037	AL_Asian_SEA4	2024.15847
RADDL4B-24-053__17-Mar-2024	M-65	NA	Dog	NA	45368	date_collected	Barangay 1	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2559971	121.941807	speedier	NA	NA	0.9718	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-053	AL_Asian_SEA4	2024.20765
RADDL4B-24-055__21-Mar-2024	M-67	NA	Dog	NA	45372	date_collected	Barangay 2	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2546321	121.944846	speedier	NA	NA	0.9888	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-055	AL_Asian_SEA4	2024.21858
RADDL4B-24-056__26-Mar-2024	M-68	NA	Dog	NA	45377	date_collected	Barangay 1	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2559971	121.941807	speedier	NA	NA	0.9892	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-056	AL_Asian_SEA4	2024.23224
RADDL4B-24-057__20-Jan-2024	M-69	NA	Dog	NA	45311	date_collected	Barangay 1	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2559971	121.941807	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-057	AL_Asian_SEA4	2024.05191
RADDL4B-24-058__20-Mar-2024	M-70	NA	Dog	NA	45371	date_collected	Mendez	Mogpog	Marinduque-Mogpog	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.5108188	121.899406	speedier	NA	NA	0.9717	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-058	AL_Asian_SEA4	2024.21585
RADDL4B-24-059__20-Mar-2024	M-71	NA	Dog	NA	45371	date_collected	Villa Mendez	Mogpog	Marinduque-Mogpog	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4778866	121.860732	speedier	NA	NA	0.9888	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-059	AL_Asian_SEA4	2024.21585
RADDL4B-24-067__20-Feb-2024	M-75	NA	Dog	NA	45342	date_collected	Cabugao	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3548689	121.847973	speedier	NA	NA	0.9892	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-067	AL_Asian_SEA4	2024.13661
RADDL4B-24-070__20-Apr-2024	M-78	NA	Dog	NA	45402	date_collected	Malibago	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2879817	122.006865	speedier	NA	NA	0.9883	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-070	AL_Asian_SEA4	2024.30055
RADDL4B-24-071__20-May-2024	M-79	NA	Dog	NA	45432	date_collected	Murallon	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4494775	121.837094	speedier	NA	NA	0.9722	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-071	AL_Asian_SEA4	2024.38251
RADDL4B-24-077__20-Nov-2024	M-85	NA	Dog	NA	45616	date_collected	Bicas-Bicas	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2415759	122.000222	speedier	NA	NA	0.9887	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-077	AL_Asian_SEA4	2024.88525
RADDL4B-24-082__18-Apr-2024	M-89	NA	Dog	NA	45400	date_collected	Mahunig	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3149774	121.854985	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-082	AL_Asian_SEA4	2024.29508
RADDL4B-24-102__28-Apr-2024	M-100	NA	Dog	NA	45410	date_collected	Bagacay	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2488165	121.990023	speedier	NA	NA	0.9886	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-102	AL_Asian_SEA4	2024.3224
RADDL4B-23-085__20-Aug-2023	M-13	NA	Dog	NA	45158	date_collected	Maligaya	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4744421	121.840682	speedier	NA	NA	0.9891	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-085	AL_Asian_SEA4	2023.63288
RADDL4B-23-093__26-Nov-2023	M-20	NA	Goat	NA	45256	date_collected	Lupac	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.459729	121.81807	speedier	NA	NA	0.9888	Capra hircus	Goat	Livestock	Luzon	RADDL4B-23-093	AL_Asian_SEA4	2023.90137
RADDL4B-23-095__28-Nov-2023	M-22	NA	Dog	NA	45258	date_collected	Laon	Mogpog	Marinduque-Mogpog	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4919948	121.853242	speedier	NA	NA	0.9888	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-095	AL_Asian_SEA4	2023.90685
RADDL4B-23-097__27-Nov-2023	M-23	NA	Dog	NA	45257	date_collected	Poctoy	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4323569	121.869007	speedier	NA	NA	0.9889	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-097	AL_Asian_SEA4	2023.90411
RADDL4B-23-098__27-Nov-2023	M-24	NA	Dog	NA	45257	date_collected	Cawit	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3817001	121.84155	speedier	NA	NA	0.9887	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-098	AL_Asian_SEA4	2023.90411
RADDL4B-23-099__30-Nov-2023	M-25	NA	Dog	NA	45260	date_collected	Bunganay	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3881435	121.830912	speedier	NA	NA	0.9889	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-099	AL_Asian_SEA4	2023.91233
RADDL4B-23-100__05-Dec-2023	M-26	NA	Pig	NA	45265	date_collected	Tabigue	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4508379	121.820882	speedier	NA	NA	0.9889	Sus scrofa domesticus	Pig	Livestock	Luzon	RADDL4B-23-100	AL_Asian_SEA4	2023.92603
RADDL4B-24-001__05-Jan-2024	M-29	NA	Dog	NA	45296	date_collected	Dampulan	Torrijos	Marinduque-Torrijos	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2358467	122.031309	speedier	NA	NA	0.9891	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-001	AL_Asian_SEA4	2024.01093
RADDL4B-24-011__24-Jan-2024	M-38	NA	Dog	NA	45315	date_collected	Laylay	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4366813	121.820382	speedier	NA	NA	0.9889	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-011	AL_Asian_SEA4	2024.06284
RADDL4B-24-012__25-Jan-2024	M-40	NA	Dog	NA	45316	date_collected	Poblacion	Torrijos	Marinduque-Torrijos	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3238104	122.076227	speedier	NA	NA	0.9713	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-012	AL_Asian_SEA4	2024.06557
RADDL4B-24-015__31-Jan-2024	M-41	NA	Dog	NA	45322	date_collected	Tampus	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.446072	121.848387	speedier	NA	NA	0.95	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-015	AL_Asian_SEA4	2024.08197
RADDL4B-24-016__31-Jan-2024	M-42	NA	Dog	NA	45322	date_collected	San Isidro	Santa Cruz	Marinduque-Santa Cruz	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.5218764	121.937044	speedier	NA	NA	0.9679	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-016	AL_Asian_SEA4	2024.08197
RADDL4B-24-049__13-Mar-2024	M-63	NA	Dog	NA	45364	date_collected	Barangay IV	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2522241	121.948204	speedier	NA	NA	0.9885	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-049	AL_Asian_SEA4	2024.19672
RADDL4B-24-084__19-Apr-2024	M-91	NA	Dog	NA	45401	date_collected	Matandang Gasan	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3269522	121.877368	speedier	NA	NA	0.9888	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-084	AL_Asian_SEA4	2024.29781
