accession	major_clade	minor_clade
KX148263	Asian	SEA4
KX148262	Asian	SEA4
KX148261	Asian	SEA3
KX148260	Asian	SEA4
KX148259	Asian	SEA4
OQ326754	Asian	SEA4
OQ326753	Asian	SEA4
OQ326752	Asian	SEA4
OQ326751	Asian	SEA4
OQ326750	Asian	SEA4
OQ326749	Asian	SEA4
OQ326748	Asian	SEA4
OQ326747	Asian	SEA4
OQ326746	Asian	SEA4
OQ326745	Asian	SEA4
OQ326744	Asian	SEA4
OQ326743	Asian	SEA4
OQ326742	Asian	SEA4
OQ326741	Asian	SEA4
OQ326740	Asian	SEA4
OQ326739	Asian	SEA4
OQ326738	Asian	SEA4
OQ326737	Asian	SEA4
OQ326736	Asian	SEA4
OR971444	Asian	SEA4
OR971443	Asian	SEA4
OR971442	Asian	SEA4
OR971441	Asian	SEA4
OR971440	Asian	SEA4
OR971439	Asian	SEA4
OR971438	Asian	SEA4
OR971437	Asian	SEA4
OR971436	Asian	SEA4
OR971435	Asian	SEA4
OR971434	Asian	SEA4
OR971433	Asian	SEA4
OR971432	Asian	SEA4
OR971431	Asian	SEA4
OR971430	Asian	SEA4
OR971429	Asian	SEA4
OR971428	Asian	SEA4
OR971427	Asian	SEA4
OR971426	Asian	SEA4
OR971425	Asian	SEA4
OR971424	Asian	SEA4
OR971423	Asian	SEA4
OR971422	Asian	SEA4
OR971421	Asian	SEA4
OR971420	Asian	SEA4
OR971419	Asian	SEA4
OR971418	Asian	SEA4
OR971417	Asian	SEA4
OR971416	Asian	SEA4
OR971415	Asian	SEA4
OR971414	Asian	SEA4
OR971413	Asian	SEA4
OR971412	Asian	SEA4
OR971411	Asian	SEA4
OR971409	Asian	SEA4
OR971408	Asian	SEA4
OR971407	Asian	SEA4
OR971406	Asian	SEA4
OR971405	Asian	SEA4
OR971404	Asian	SEA4
OR971403	Asian	SEA4
OR971402	Asian	SEA4
OR971401	Asian	SEA4
OR971400	Asian	SEA4
OR971399	Asian	SEA4
OR971398	Asian	SEA4
OR971397	Asian	SEA4
OR971396	Asian	SEA4
OR971395	Asian	SEA4
OQ326784	Asian	SEA4
OQ326783	Asian	SEA4
OQ326782	Asian	SEA4
OQ326781	Asian	SEA4
OQ326780	Asian	SEA4
OQ326779	Asian	SEA4
OQ326778	Asian	SEA4
OQ326777	Asian	SEA4
OQ326776	Asian	SEA4
OQ326775	Asian	SEA4
OQ326774	Asian	SEA4
