"tip","distance","Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","Region_short","phylogenetic_clade","lineage","decimal_date"
"RADDL4B-24-034",0.031694268,"RADDL4B-24-034","M-55",NA,"Dog",NA,2024-02-29,"date_collected","Bamban","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.42366341,121.8779105,"speedier",NA,NA,0.9713,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.16120218579
"RADDL4B-24-019",0.032116868,"RADDL4B-24-019","M-47",NA,"Pig",NA,2024-02-08,"date_collected","Daykitin","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.27382681,121.9228134,"speedier",NA,NA,0.9885,"Sus scrofa domesticus","Pig","Livestock","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.10382513661
"RADDL4B-24-070",0.032029445,"RADDL4B-24-070","M-78",NA,"Dog",NA,2024-04-20,"date_collected","Malibago","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.28798166,122.0068653,"speedier",NA,NA,0.9883,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.30054644809
"RADDL4B-24-085",0.032116701,"RADDL4B-24-085","M-92",NA,"Dog",NA,2024-04-20,"date_collected","Malibago","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.28714633,122.0077236,"speedier",NA,NA,0.9883,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.30054644809
"RADDL4B-24-067",0.031764978,"RADDL4B-24-067","M-75",NA,"Dog",NA,2024-02-20,"date_collected","Cabugao","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35486893,121.8479733,"speedier",NA,NA,0.9892,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.13661202186
"RADDL4B-24-183",0.031918405,"RADDL4B-24-183","M-127",NA,"Dog",NA,2024-11-20,"date_collected","Tawiran","Santa Cruz","Marinduque-Santa Cruz","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.462624,122.076691,"speedier",NA,NA,0.9325,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.88524590164
"RADDL4B-24-076",0.032294608,"RADDL4B-24-076","M-84",NA,"Dog",NA,2024-07-20,"date_collected","Barangay I","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.54918032787
"RADDL4B-24-073",0.031940598,"RADDL4B-24-073","M-81",NA,"Dog",NA,2024-07-20,"date_collected","Bangbangalon","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.43848981,121.8276107,"speedier",NA,NA,0.9886,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.54918032787
"RADDL4B-24-088",0.03205014,"RADDL4B-24-088","M-95",NA,"Dog",NA,2024-04-22,"date_collected","Mangiliol","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35766762,121.8384787,"speedier",NA,NA,0.9155,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.2",2024.30601092896
"RADDL4B-24-003",0.031853004,"RADDL4B-24-003","M-31",NA,"Dog",NA,2024-01-09,"date_collected","Masiga","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35871898,121.8255082,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.0218579235
"RADDL4B-24-084",0.032204261,"RADDL4B-24-084","M-91",NA,"Dog",NA,2024-04-19,"date_collected","Matandang Gasan","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.32695219,121.8773683,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.29781420765
"RADDL4B-24-086",0.031703562,"RADDL4B-24-086","M-93",NA,"Dog",NA,2024-04-20,"date_collected","Pulong-Parang","Santa Cruz","Marinduque-Santa Cruz","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.41549537,122.0584289,"speedier",NA,NA,0.9345,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.30054644809
"RADDL4B-23-061",0.031913186,"RADDL4B-23-061","M-3",NA,"Dog",NA,2023-10-09,"date_collected","Agumaymayan","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.44998665,121.8994821,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.7698630137
"RADDL4B-23-072",0.031828022,"RADDL4B-23-072","M-9",NA,"Dog",NA,2023-10-23,"date_collected","Bocboc","Mogpog","Marinduque-Mogpog","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.47143036,121.9410823,"speedier",NA,NA,0.9713,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.80821917808
"RADDL4B-23-085",0.03123865,"RADDL4B-23-085","M-13",NA,"Dog",NA,2023-08-20,"date_collected","Maligaya","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.47444205,121.840682,"speedier",NA,NA,0.9891,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.63287671233
"RADDL4B-24-015",0.031555569,"RADDL4B-24-015","M-41",NA,"Dog",NA,2024-01-31,"date_collected","Tampus","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.44607203,121.8483871,"speedier",NA,NA,0.95,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.08196721311
"RADDL4B-24-021",0.030986699,"RADDL4B-24-021","M-44",NA,"Dog",NA,2024-02-01,"date_collected","Tabi","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.45428134,121.8406166,"speedier",NA,NA,0.9721,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.08469945355
"RADDL4B-23-070",0.031332677,"RADDL4B-23-070","M-10",NA,"Dog",NA,2023-10-23,"date_collected","Pili","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.46393265,121.8260512,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.80821917808
"RADDL4B-24-127",0.031252591,"RADDL4B-24-127","M-113",NA,"Dog",NA,2024-05-16,"date_collected","Caigangan","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.26212226,121.9342731,"speedier",NA,NA,0.9706671136,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.37158469945
"RADDL4B-24-057",0.031151753,"RADDL4B-24-057","M-69",NA,"Dog",NA,2024-01-20,"date_collected","Barangay 1","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.05191256831
"RADDL4B-24-107",0.03151308,"RADDL4B-24-107","M-105",NA,"Dog",NA,2024-03-20,"date_collected","Daykitin","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.27382681,121.9228134,"speedier",NA,NA,0.9503017097,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.21584699454
"RADDL4B-24-035",0.030538158,"RADDL4B-24-035","M-56",NA,"Dog",NA,2024-02-26,"date_collected","Masiga","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35871898,121.8255082,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.15300546448
"RADDL4B-23-099",0.030157608,"RADDL4B-23-099","M-25",NA,"Dog",NA,2023-11-30,"date_collected","Bunganay","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.38814351,121.830912,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.91232876712
