"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","seq_name","phylogenetic_clade"
"Z-24-141","P-34",NA,"Dog",NA,"=""24-Sep-2024""","date_collected","Poblacion","Narra","Palawan-Narra","Palawan","Palawan","MIMIROPA","Mimaropa Region",9.250884096,118.3463664,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Z-24-141","AL_Asian_SEA4"
"Z-24-142","P-35",NA,"Dog",NA,"=""24-Sep-2024""","date_collected","Culandanum","Bataraza","Palawan-Bataraza","Palawan","Palawan","MIMIROPA","Mimaropa Region",8.6727041,117.450586,"speedier",NA,NA,0.9716,"Canis lupus familiaris","Dog","Domestic","Luzon","Z-24-142","AL_Asian_SEA4"
"RADDL4B-23-060","M-2",NA,"Dog",NA,"=""06-Oct-2023""","date_collected","Balogo","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.46850874,121.8289235,"speedier",NA,NA,0.9716,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-060","AL_Asian_SEA4"
"RADDL4B-23-061","M-3",NA,"Dog",NA,"=""09-Oct-2023""","date_collected","Agumaymayan","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.44998665,121.8994821,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-061","AL_Asian_SEA4"
"RADDL4B-23-070","M-10",NA,"Dog",NA,"=""23-Oct-2023""","date_collected","Pili","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.46393265,121.8260512,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-070","AL_Asian_SEA4"
"RADDL4B-23-072","M-9",NA,"Dog",NA,"=""23-Oct-2023""","date_collected","Bocboc","Mogpog","Marinduque-Mogpog","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.47143036,121.9410823,"speedier",NA,NA,0.9713,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-072","AL_Asian_SEA4"
"RADDL4B-23-057","M-1",NA,"Pig",NA,"=""24-Sep-2023""","date_collected","Apitong","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.45365494,121.8709323,"speedier",NA,NA,0.9887,"Sus scrofa domesticus","Pig","Livestock","Luzon","RADDL4B-23-057","AL_Asian_SEA4"
"RADDL4B-24-019","M-47",NA,"Pig",NA,"=""08-Feb-2024""","date_collected","Daykitin","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.27382681,121.9228134,"speedier",NA,NA,0.9885,"Sus scrofa domesticus","Pig","Livestock","Luzon","RADDL4B-24-019","AL_Asian_SEA4"
"RADDL4B-24-021","M-44",NA,"Dog",NA,"=""01-Feb-2024""","date_collected","Tabi","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.45428134,121.8406166,"speedier",NA,NA,0.9721,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-021","AL_Asian_SEA4"
"RADDL4B-24-026","M-53",NA,"Dog",NA,"=""16-Feb-2024""","date_collected","Bangbangalon","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.43848981,121.8276107,"speedier",NA,NA,0.972,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-026","AL_Asian_SEA4"
"RADDL4B-24-027","M-52",NA,"Dog",NA,"=""14-Feb-2024""","date_collected","Daykitin","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.27382681,121.9228134,"speedier",NA,NA,0.9716,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-027","AL_Asian_SEA4"
